,County,Rural,Rehab_Count,EMS_COUNT,hospital_count,dropbox_247availability,dropbox_count,1yrlag,5yrlag,10yrlag,UR_1yrlag,UR_5yrlag,UR_10yrlag,CR_1yrlag,CR_5yrlag,CR_10yrlag,PR_1yrlag,PR_5yrlag,PR_10yrlag,BR_1yrlag,BR_5yrlag,BR_10yrlag,DR_1yrlag,DR_5yrlag,DR_10yrlag,CP_1yrlag,CP_5yrlag,CP_10yrlag,TP_1yrlag,TP_5yrlag,TP_10yrlag,ER_1yrlag,ER_5yrlag,ER_10yrlag,drug_ER_Visits_2016,teenage_pregnancy_2016,2015_children_poverty,2016_death_rate,2016_birth_rate,2016_prescription,2016_ODRate,2016ODabovenatavg
0,Appling,1,0.0,1.0,0.0,1,1,0.0,0.0,0.0,-0.123287671233,-0.483870967742,0.207547169811,1.0,0.0,-0.97037037037,-0.0447876447876,0.172511848341,0.391451068616,-0.0377312231349,-0.040756815268,-0.0321322781997,0.0247011441713,0.100459603875,-0.00740723219931,-0.0630136986301,-0.0420168067227,0.14381270903,0.00706713780919,-0.306569343066,-0.407484407484,1.08265682657,3.33486943164,4.55511811024,0.002822,0.0285,0.342,0.01160992812,0.01356300014,1.237,0.000162795745605,True
1,Atkinson,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.0877192982456,-0.59375,0.0196078431373,0.0,-1.0,-1.0,-0.12836970475,-0.0490196078431,0.374493927126,0.177559968908,0.0940030765114,-0.155059785794,0.320502760519,-0.0703087544317,-0.33926325203,0.0742705570292,-0.302925989673,0.14730878187,-0.39402173913,-0.493181818182,-0.483796296296,1.84369747899,1.02150537634,0.0,0.001692,0.0223,0.405,0.007339228779,0.01792696866,0.679,0.000120875135985,False
2,Bacon,1,0.0,1.0,0.0,0,1,0.0,-1.0,-1.0,-0.0701754385965,-0.495238095238,0.204545454545,-1.0,0.0,-1.0,0.0416666666667,-0.0500603136309,0.0809883321894,-0.148873375759,0.0333701624959,-0.175538414594,-0.01604603846,-0.212044697121,-0.10605957554,-0.0659898477157,0.0366197183099,0.202614379085,0.0857142857143,-0.360269360269,-0.665492957746,-0.0419693301049,1.04655172414,0.0,0.002374,0.019,0.368,0.009623449433,0.01271354787,1.575,0.0,False
3,Baker,1,0.0,1.0,0.0,0,1,-1.0,0.0,0.0,0.0694444444444,-0.336206896552,0.509803921569,-1.0,0.0,-1.0,0.0,0.0,0.0,-0.0958971649637,-0.0215259216568,0.292040284901,0.0171156893869,0.0702060221897,0.16534236845,0.0145278450363,0.0320197044335,0.0854922279793,0.0,0.0,0.0836120401338,0.0,0.0,0.0,0.0,0.0324,0.419,0.008557844691,0.01014263075,0.0,0.0,False
4,Baldwin,0,1.0,1.0,2.0,1,1,-1.0,-1.0,-1.0,-0.105263157895,-0.507246376812,0.446808510638,0.188790560472,-0.225,0.0254452926209,-0.0428015564202,-0.18,0.157647058824,-0.0189613348614,-0.111910732943,-0.168930015193,0.081872413177,0.224818136284,0.135277408061,0.0201149425287,0.0289855072464,0.431451612903,-0.252525252525,-0.543209876543,-0.685106382979,3.61942959002,16.6894197952,23.1069767442,0.005183,0.0074,0.355,0.009980678995,0.009759867513,0.984,0.0,False
5,Banks,1,0.0,1.0,0.0,0,1,0.333333333333,-0.333333333333,3.0,-0.125,-0.467391304348,0.361111111111,-0.692,-0.45390070922,-0.503225806452,-0.11875,0.0818414322251,5.04285714286,-0.0211913243159,0.189420860152,-0.114650343277,-0.0968943920732,0.136965605302,-0.0302973834699,-0.109489051095,-0.0121457489879,0.238578680203,0.279279279279,-0.183908045977,-0.496453900709,1.92765273312,5.64598540146,5.75695732839,0.003642,0.0142,0.244,0.008354808084,0.01171843212,0.423,0.000217426754362,True
6,Barrow,0,1.0,1.0,1.0,0,2,0.444444444444,0.625,0.444444444444,-0.11320754717,-0.525252525253,0.093023255814,-0.172413793103,-0.194244604317,0.112582781457,-0.0353477765108,-0.0733844468784,-0.0804347826087,-0.00308761113745,-0.0824324577466,-0.219391514896,0.0476076905063,0.0466550667765,0.178994571582,0.103626943005,0.203389830508,0.48951048951,-0.254545454545,-0.536723163842,-0.649572649573,1.27768115942,7.32415254237,8.28841607565,0.003929,0.0082,0.213,0.007725000493,0.01410994988,0.846,0.000168555350984,True
7,Bartow,0,1.0,1.0,1.0,1,2,0.105263157895,0.235294117647,1.33333333333,-0.135593220339,-0.55652173913,0.0,-0.0534979423868,0.111111111111,0.202090592334,-0.0162523900574,-0.125743415463,0.0553846153846,-0.0384816876583,-0.0149724966701,-0.251839079605,-0.00808321666377,0.028506918819,0.125485516123,0.0436893203883,-0.0182648401826,0.131578947368,-0.124183006536,-0.47859922179,-0.6,2.13455657492,8.35218978102,6.10818307906,0.005125,0.0134,0.215,0.008548996801,0.0125811767,1.029,0.000202298496248,True
8,Ben Hill,1,0.0,1.0,1.0,1,1,0.0,0.0,0.0,-0.1,-0.480769230769,0.5,-0.185714285714,3.95652173913,-0.116279069767,-0.0418068236425,0.43763518385,0.495873968492,-0.0272794428518,-0.0831985386637,-0.286649967246,0.0102039739661,0.0960977049897,0.176910445513,0.160891089109,0.130120481928,0.321126760563,-0.489296636086,-0.59068627451,-0.704946996466,2.12344656172,10.0882352941,8.44862155388,0.00377,0.0167,0.469,0.01294909963,0.0136428014,1.994,5.79945485124e-05,False
9,Berrien,1,1.0,1.0,1.0,0,1,0.0,0.0,-0.666666666667,-0.138888888889,-0.504,0.589743589744,-0.0652173913043,-0.348484848485,0.162162162162,-0.020942408377,-0.418652849741,-0.43956043956,-0.00911549686682,0.197645580616,-0.0840320822974,0.096147239354,0.0853712140618,0.14893341872,0.0193370165746,0.0949554896142,0.285714285714,0.592783505155,0.136029411765,-0.231343283582,3.32616940582,5.60617760618,11.3537906137,0.003422,0.0309,0.369,0.01138070023,0.0138570563,0.561,5.26509766756e-05,False
