County,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Appling,47.4,39.3,49.7,54.3,42.7,41.8,59.2,39.1,40.1,41.1,35.7,37.7,48.1,46.4,46.8,45,51.2,41.1,38.4,29.6,26.3,28.3,28.5
Atkinson,53.2,73,80.7,90.6,61.4,72.6,67.9,53.6,68.1,37.2,50.9,39.5,43.2,39.4,38.3,46.3,33.5,44,31.1,42.7,32,36.8,22.3
Bacon,56.7,60.2,56.5,50.7,46.9,41.5,57.7,43.4,36.3,27.7,47.9,36.3,56.8,57.6,58.5,49,37.2,29.7,44.8,18.1,23.5,17.5,19
Baker,26.5,35.2,29.7,32.2,29.6,17.3,30.2,33.7,26.1,26.1,26.1,26.1,29.9,34.7,34.7,26.7,26.7,32.4,32.4,32.4,32.4,32.4,32.4
Baldwin,38.1,33,29,28,28.1,30.9,23.9,20.4,18.6,24.5,29.4,26.7,23.5,22.9,20.4,22.3,18,16.2,17.7,12.4,9.8,9.9,7.4
Banks,29.6,35.7,47.3,47.4,31,42.3,33.4,37,30.8,34.9,29,23.7,28.2,26.6,26.1,28.7,19.2,17.4,12.2,21.7,16.9,11.1,14.2
Barrow,34,39.1,32.7,39.2,32.6,32.8,34.2,31.8,30.7,25,26,25.8,23.4,24.8,24.4,21,18.6,17.7,20.2,14.9,10.9,11,8.2
Bartow,42.8,44.9,46.2,42.9,47.6,48.8,40.7,37.7,33.9,33.3,34.4,33.6,33.5,31.4,28.5,23.3,21.8,25.7,18.8,16,17.8,15.3,13.4
Ben Hill,63.6,44.7,47.9,61.3,55.1,55.3,45.7,53,48.5,34.8,47,59.9,56.6,56.2,51.2,50.2,41.3,40.8,28,26.1,29.2,32.7,16.7
Berrien,51.5,36.9,36.6,30.1,57.1,39.5,40,34.9,39.6,28.5,40.6,48,40.2,43.9,38,30.7,33.4,27.2,21.4,22.4,33.8,19.4,30.9
Bibb,44.1,47.1,42.3,42.7,36.9,33.6,35.4,34.2,33.3,32.1,33.5,32.2,32.9,30.5,36.8,33.9,27.6,26.7,25.1,23.8,25,19,18.9
Bleckley,39.4,42.7,35.9,37.1,48.5,35.9,36.9,29.2,20.3,17.9,24.8,18.1,19.6,24.6,23.4,14.3,12.1,18.7,17.4,7.6,14.4,18.9,12
Brantley,37,34.2,13.7,16.3,16.9,32.8,27.7,13.8,33.5,26.8,35.5,21.5,26.5,33.4,21,39.5,33.7,25.3,33.1,29.7,27.9,25.4,28.2
Brooks,47.5,41.8,42.7,44.5,35.8,42.8,41,46,28.2,35.5,38.2,41.8,44.7,48.2,38.3,39.5,31.8,30.1,39,29.8,27.8,19.9,19.6
Bryan,39.5,39,32,36,33.2,27.9,25.9,23.5,17.2,25.9,18.9,18.4,14,21,20.4,15.3,15.7,16,7.8,10.5,11.3,9.1,5.1
Bulloch,22.8,22.2,24.7,15.4,20.3,22,19.4,20.7,21.9,16.3,24.1,18,25,24.8,21.5,21,15,14.3,14,12.3,13.3,10.7,11.1
Burke,48.7,49.1,56,49.9,48.7,52.6,52.2,49.5,41.6,40.7,33,47.3,40.7,38.8,39.5,43.8,35.1,30.1,30,26.6,21.8,19.8,17
Butts,42.6,39.4,36.1,32.6,37.8,40.1,41.8,46.5,38.5,37.4,35.3,33.6,42,30.3,34.3,27.6,25.9,31.7,25.9,18.7,19.1,17.7,12.2
Calhoun,64.7,32.3,39.3,42.8,60,50.2,41.3,72.8,51,40,68.5,30.2,46.3,42.3,23.1,53.4,31.3,26.9,44.7,44.7,14.7,14.5,14.5
Camden,28.5,34.7,31.7,26,29.3,25,27.3,32.3,28.5,30.7,23,23.6,27.6,32.1,33,27.5,21.8,20.6,24.5,16,15.7,12.6,13.8
Candler,42.1,33.3,48.4,45.2,55.3,36.9,34,46.1,57,60,62.1,58.9,53.4,50.8,51.9,29.2,29.3,25.7,21.1,29.5,20.2,17.4,16.8
Carroll,34.9,35.4,33.7,35.2,32.5,33,33.3,33.1,31.5,25.8,26.7,25.5,27.7,28.7,26.3,25,24.1,22.3,18.8,18.8,17.4,16.8,16.1
Catoosa,35.8,44.3,28.8,34.1,32.8,28,26.2,26.5,25,23.3,26.1,21.9,29.5,29.4,29.2,27.5,21.1,18.8,21.5,17.8,16.2,13.3,12
Charlton,33.4,37.3,40.3,40.1,36.7,36.2,35,29.3,26.9,24.8,27.3,13.2,29.7,33.2,37.3,47.4,32.5,27.9,34.4,15.7,18.6,16.7,16.4
Chatham,45.5,41.3,40,40.3,37.6,36.9,32.3,34,31.2,27.9,28.6,27.8,29.3,30.7,27.3,28.2,23.4,20.5,18.7,15.8,14.4,12.8,12
Chattahoochee,23.6,21.1,25.1,32.4,20.1,30.2,21.9,21.6,24.7,15.8,11.5,15.8,12.1,17.6,17.7,22.9,30.3,21.2,17,21.3,22.5,20.1,15.9
Chattooga,41.9,51.5,55.8,46.5,59.9,43.6,49.1,55.5,32.8,47.9,26.6,35,39.4,47.6,39.5,39.7,31.8,37.8,26.2,20.6,30.4,29.4,29.9
Cherokee,22.4,20.9,23.8,21.7,20,22.3,22,18.4,16.3,13.9,16.7,16.5,17.9,16,13.4,11.9,10.9,9,7.8,8.5,7.4,5.5,5.2
Clarke,23.2,22.8,20.6,20.3,20,21.5,20,20.1,16.8,17.5,16.5,17.6,21.2,19.8,18.4,18.3,15.8,12.8,13.8,11.7,9.4,8.5,8.6
Clay,37.2,52.2,55.6,57.5,69,62.7,54.3,70.5,41.3,27.1,29,51.1,51.1,26.8,23.5,49.5,49.5,24.9,24.9,24.9,0,30.9,30.9
Clayton,32.3,33.7,31.9,33.8,31.8,31.4,31.2,32.2,28.6,27.6,28.1,30.9,31.4,32.9,33.3,31.7,29.1,23.7,21.4,20,17.2,15.7,14.3
Clinch,45.9,35.1,51.7,49.5,43.5,45.7,50.3,67.3,46.2,58.5,52.1,41.6,38.8,55,36.4,49.5,29,33.8,46.3,49.9,28.9,24.7,15.4
Cobb,20.8,20.1,18.6,20,19.8,18.3,19.2,17.3,17.9,16.1,17.6,17.2,18.8,17.9,15.9,13.8,12,11.7,9.6,8.8,7.8,7.3,6.5
Coffee,58.6,67.6,55,62.8,52.5,61.9,44.2,48.3,47.9,37.9,43.5,39.1,48.7,52.5,50.5,38.1,38.2,35.6,29.7,36.6,30.8,25.9,22.5
Colquitt,51.7,56,58.3,50.3,46.9,46,53,48.6,50.6,45.6,49,43.3,46,57,49.6,45.5,40.5,35.4,27.7,27,24.4,25.2,23.1
Columbia,16.7,15.7,18.4,15.2,15.5,15.8,14.7,15.3,13.3,11.5,10.3,11.6,13.9,12.9,14.3,10.2,13.1,9.8,8.4,8.1,4.9,6.1,7.2
Cook,57.9,48.5,49.1,54.2,37.4,47.7,41.1,33.7,42.8,31.9,35.3,42.6,47.1,47.1,36.5,32.6,30.3,25.7,27.3,28.6,30.5,23.8,14.4
Coweta,38.3,35.2,35.2,33.2,30,27.4,25.6,23.8,20.8,19.3,20.9,20.7,24.5,21.8,21.7,15.9,14.4,16.1,13.4,11.4,11.2,10.5,8.6
Crawford,40,28.5,19.5,18.6,24.9,24,14.2,19.8,22.5,22.2,27.9,16.1,16.2,21.3,21.7,25,29.3,21.2,34.4,16,12,12.1,16.3
Crisp,63.2,80.5,54.8,58.7,59.8,53.7,51.1,47.2,49.9,35.9,49.5,49.5,48.8,56.6,55.8,42.8,43.8,40.1,29.1,37.6,27.1,24.8,16.7
Dade,38.8,29.6,27.9,24.2,28.4,22.9,21.8,25.4,24.1,22,11.5,20,24.3,18.8,16.5,22.6,18,17.9,16.8,16.4,9.5,17.8,11.7
Dawson,39.9,30.6,31.3,33.4,43.1,25.8,24.2,31.7,19.8,19.8,24.6,24.1,9.8,20.3,24.8,17.8,16.9,15.7,9.7,13.5,9.1,11.9,8.1
Decatur,46.6,53.1,58,52.6,54.7,47.3,44.5,40.9,35.4,30.7,41.2,35.8,48.3,53,43.4,44.9,39.6,32.8,37.2,25.4,32.4,32.9,24.2
DeKalb,31.4,32,30.2,31.8,29.3,30.6,27.7,26.3,24.1,23.8,23.3,25,25.8,27.5,25.7,25.5,21.3,19.3,16.8,14.2,13.6,12.8,12.3
Dodge,30.7,36.1,38.5,39.9,30,28.4,40.5,35.2,32.9,34.5,27.4,32,32.4,40.1,40.6,37.7,39.4,31.9,38.2,26.4,27.5,31,17.5
Dooly,42.2,33.7,46.9,66,53.9,58.5,57.2,37.3,50.6,39.7,33,42.8,35.6,40,36,25.9,35.3,27.7,22,15,21.1,10.1,17.6
Dougherty,49,51.3,42.6,50.7,43.4,45.4,43.5,39.8,35.4,37.4,37.9,42.2,45.9,43.3,39,38.7,37.3,35.2,32.1,27.5,25.5,20.7,20.1
Douglas,29.1,28.3,25.9,26.4,23.9,24.6,26,26.9,19.2,21.4,22,21.9,21.1,20.3,20.9,20.8,15.2,15.2,15.3,13.2,12,12,10
Early,45.4,63.1,56.4,53.4,54.4,39.1,28.7,38.6,42.2,41.7,40.2,29.3,36.7,32.4,43.6,48.1,32.1,28.8,29.8,26.6,24.9,22.9,15.3
Echols,30.2,30.2,30.2,30.2,30.2,30.2,30.2,38.8,30.2,49,45.9,39.7,29.2,74.8,43.6,36.6,68.1,25.8,45.5,27.6,27.6,16.9,16.9
Effingham,27.3,33,24.7,32.2,34.5,25.9,30,24.4,25.4,19.4,22.7,18.2,17.8,17.9,21.7,21.5,15,16.3,14.9,16,10.2,11,12.9
Elbert,47.4,44,48.8,41.1,37.2,38.7,33.1,26.4,32.1,23.2,28.7,22.8,37.1,30,35,33.3,31.9,25.7,26.9,24.8,18.3,20.4,17.1
Emanuel,49.5,49.5,46.1,46,46.4,44.6,39.6,44.8,42.5,46.4,46.7,44.7,43.2,57.2,37.5,40.9,34.6,37.1,38.5,34.3,31,22.9,24.5
Evans,50,49,45.3,42.7,43,42.3,54.4,42,36.9,50.3,54.2,51.8,44.6,66,51.9,43.4,44.4,41.9,42.6,30.1,21.7,24.2,29.5
Fannin,28.3,38,37.5,38.9,38.1,38.4,33.2,38.2,28.4,25.5,29.8,33,34,29.7,21.5,29.2,21.2,22.4,21,12.3,20.1,13.6,9.4
Fayette,7.1,8.3,10.6,9.6,9.7,7.7,8.8,7,7.8,6.5,8.6,7.9,6.8,7.9,5.2,6.8,6.1,4.5,4.9,3.4,3.3,3.1,3.1
Floyd,38.9,33.1,38.5,34.3,34.6,32.7,36.3,35.9,33.9,34.7,32.6,27.5,37.9,31.5,29.2,30,24.6,20.4,15.9,20.5,15.3,16.2,18.2
Forsyth,25.1,26,25.4,21.1,21.1,20.8,20.8,15.6,12.4,14.9,13.7,14.9,14.2,9.5,7.1,8.6,7.3,6.8,5.1,3.6,3.4,2.6,2.6
Franklin,38,35.9,37.9,36.2,27.7,38,28.4,34.2,31.3,25.6,28.8,31.1,33.5,32.2,37.8,42.8,27.4,26.9,30,21.9,18.5,18.6,19.7
Fulton,39.9,36.4,36.5,34.8,33.2,33.7,33.7,29.4,26.7,24.5,22.9,23.4,23.9,24.3,23.3,21,19.3,17.7,14.8,12.7,10.9,10.5,8.7
Gilmer,35.2,52.7,38.8,47.4,61.7,39.9,47.7,36.1,47,47.4,43.5,46.4,37.7,48.1,30.1,30.7,31,22.5,18,29.5,23.7,21.6,23.4
Glascock,45.8,62.1,37.5,30.9,30.3,30.3,30.3,41.7,41.7,41.7,41.7,41.7,0,28.6,22.5,22.5,22.5,26.8,21,21,21,21,24.3
Glynn,44.7,42.8,42.7,36.3,43.4,43.2,34.3,34.7,31.6,34.3,31.1,34.4,39,41.6,33.6,36.8,33.6,28.5,24.5,25.1,18.5,18.7,17.4
Gordon,38.6,53.6,46.9,47.9,46.7,48.7,43.7,45.2,39,41.2,39.2,39.1,41.6,38.4,34.5,25.1,21.7,28.6,19.6,22.3,21.5,15.4,19.1
Grady,41.1,42.6,40.6,48.9,32.8,38.2,49.1,48.6,40.6,44.2,45.8,39.3,53.2,46.6,48,38.5,38,37.1,26.1,29.4,19.2,22.4,28.8
Greene,44.1,52.1,51.6,47,40.1,33.6,39.7,46.2,37.5,32.3,29.3,23.8,35.3,29.1,35.1,31.5,25.1,17.1,17.4,23.2,20.9,19.2,12.9
Gwinnett,15.8,14.3,15.2,14.8,15.9,16.2,17.3,17.8,17.5,18.3,18.8,19.5,21.7,18.1,18.3,15.1,13,11.1,9.9,9.1,8.6,7.8,7.1
Habersham,40.6,40.4,34.8,42.3,35.7,46,44,32.6,36.8,34.4,36.3,32.6,31.7,33.7,36.5,29.4,25,18.3,17.3,17.5,16.7,13.8,15
Hall,40.1,38.1,40.7,40,38.5,41.6,38.7,39.1,38.7,35.3,36,34.6,34.1,32,31.6,26.4,25.6,23.2,20.6,15.7,16.5,15.1,13.8
Hancock,31.7,62.5,42.3,49.2,48.4,42.9,39.7,45.5,23.5,35.8,42.9,28.3,25.8,37.7,29.2,22.8,13,25.6,17.5,21.6,26.1,26.1,26.1
Haralson,33.2,37.8,39.9,39.7,46.6,38,42.8,40.5,37.7,33.7,34.5,24.9,35,31.4,26.7,30,24.9,31.4,23.2,17.5,18.7,22.4,13.8
Harris,30.3,23.4,21.5,18.5,19,24.2,24.8,15.2,12.5,15.4,12.1,10.8,18.2,15.3,13,21.4,13,15.7,8.9,10.8,10.3,6.6,6.6
Hart,36.5,28.7,39.5,31.8,31,40.1,28.4,33.7,28.2,36.6,29.2,20.9,24.2,26.9,40,37.3,19.9,19.4,25.1,17.2,23.7,20.7,20.4
Heard,39.8,43.3,34.3,54.1,49.9,38.8,39.5,30.7,32,26,19.1,18.8,38.7,37.8,36.4,36.7,27.6,38,33,37.5,14.5,13.5,35.6
Henry,23.7,23.6,19.8,22.9,27.4,21.4,19.9,17.7,17.8,18.4,15.9,15,17.3,14.2,14.7,15.7,12.4,9.4,9.5,8.8,10,8,6.6
Houston,29.2,31.5,28.7,24.5,28.6,22.8,23.6,24.5,24.6,21.4,22.5,26.1,26.5,25.2,22.3,23.7,19.3,20.6,16.5,15.2,14.2,11.9,10.3
Irwin,44.1,38.2,31.5,45.7,36.6,31.8,49.7,28.9,32,40.2,33.6,29.9,35.5,44.9,26.3,25.8,25.4,26.8,27.8,14,20.5,13.7,17
Jackson,48,46,44.1,34.8,45.3,31,41.7,34.3,35.2,34.2,32.3,27.4,25.3,24.1,24.4,18.2,19.2,16.5,14.9,13.3,11.3,12.6,9.1
Jasper,44.1,41.5,43.8,32.4,36.5,35.8,34.6,33.3,30.2,29.4,23.8,28,31,36,33.4,30.7,24.9,23.7,16.5,11.5,12.5,14.4,12.4
Jeff Davis,47.9,40.1,39.6,37.2,58.4,72.1,55.9,52.5,49.9,47,47.8,42.4,41.5,44.1,51.9,45.9,46,34.4,28.6,30.2,32.4,26.3,24.7
Jefferson,43,36.7,38.1,41.9,36.7,42.1,29.2,43.4,41.2,42.1,26.3,29.7,38.5,45,45.9,40.1,29.6,31.2,27.5,27.5,21.9,18.4,19
Jenkins,47.4,45.5,40.6,39.4,58.6,61.3,37.7,41.7,52,33.3,39.6,45.7,38.4,21.7,50.3,34.4,33.3,36.1,14.6,25.4,36.5,25,11.7
Johnson,72.1,52.4,58,61.4,49.4,45.2,34.7,51.5,35.7,37.7,46.2,28.9,23.6,29.6,30,25.2,23,22.3,18.2,15.5,20.9,10.8,16.3
Jones,26.1,27.4,26.3,31.2,23.4,26.3,24.6,21.2,19.5,21.6,17,20.7,17.2,22.5,23.3,22.9,19.5,17.2,16.6,13.6,12.6,13.5,10.7
Lamar,37.6,34.6,36.1,37.5,39.8,26.9,26.1,25.5,18.3,18.4,23.4,24.7,22.7,22.8,25.7,31.4,17.8,20.2,23.2,12.3,14.3,10.9,10.3
Lanier,48.7,46.5,30.1,32.9,29.7,40.7,43.7,36.1,35.1,30.5,33.6,26.8,27.4,45.2,30.9,18.4,29.6,25.8,23.9,24.3,33.5,22.5,18.2
Laurens,40.4,43.3,43.2,44.5,40.5,31.2,36.6,42.5,34,31.1,30.3,29.7,34.1,39.6,29.3,26.9,34.8,29.9,24.9,22.9,21,19.2,21.1
