Deaths , Death Rate  by Residence, Drug Overdoses
		1999	1999	2000	2000	2001	2001	2002	2002	2003	2003	2004	2004	2005	2005	2006	2006	2007	2007	2008	2008	2009	2009	2010	2010	2011	2011	2012	2012	2013	2013	2014	2014	2015	2015	2016	2016	Selected Years Total	Selected Years Total
		Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 	Deaths 	Death Rate 

Appling	2 	* 	1 	* 	1 	* 	1 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	2 	* 	 	0.0 	3 	* 	3 	* 	3 	* 	1 	* 	3 	* 	3 	* 	3 	* 	29 	9.0 	

Atkinson	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	1 	* 	1 	* 	4 	* 	1 	* 	1 	* 	 	0.0 	1 	* 	12 	8.2 	

Bacon	 	0.0 	 	0.0 	1 	* 	2 	* 	2 	* 	 	0.0 	 	0.0 	1 	* 	4 	* 	2 	* 	 	0.0 	2 	* 	2 	* 	 	0.0 	3 	* 	2 	* 	 	0.0 	 	0.0 	21 	10.8 	

Baker	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	

Banks	 	0.0 	3 	* 	 	0.0 	1 	* 	3 	* 	1 	* 	1 	* 	1 	* 	3 	* 	3 	* 	3 	* 	1 	* 	6 	32.9 	5 	27.3 	 	0.0 	2 	* 	3 	* 	4 	* 	40 	13.0 	

Ben Hill	1 	* 	1 	* 	 	0.0 	 	0.0 	2 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	3 	* 	1 	* 	1 	* 	1 	* 	13 	4.1 	

Berrien	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	3 	* 	1 	* 	1 	* 	1 	* 	2 	* 	 	0.0 	2 	* 	4 	* 	 	0.0 	 	0.0 	1 	* 	17 	5.2 	

Bleckley	1 	* 	 	0.0 	1 	* 	4 	* 	3 	* 	 	0.0 	3 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	2 	* 	1 	* 	3 	* 	1 	* 	21 	9.4 	

Brantley	 	0.0 	 	0.0 	2 	* 	1 	* 	1 	* 	4 	* 	4 	* 	2 	* 	4 	* 	1 	* 	6 	33.1 	3 	* 	7 	38.1 	3 	* 	2 	* 	3 	* 	5 	27.1 	7 	38.1 	55 	17.9 	

Brooks	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	 	0.0 	1 	* 	2 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	1 	* 	11 	3.8 	

Bryan	 	0.0 	1 	* 	 	0.0 	3 	* 	2 	* 	1 	* 	 	0.0 	 	0.0 	1 	* 	3 	* 	3 	* 	1 	* 	 	0.0 	1 	* 	2 	* 	1 	* 	4 	* 	 	0.0 	23 	4.4 	

Burke	3 	* 	1 	* 	1 	* 	2 	* 	1 	* 	1 	* 	 	0.0 	2 	* 	3 	* 	3 	* 	1 	* 	2 	* 	1 	* 	1 	* 	3 	* 	1 	* 	3 	* 	4 	* 	33 	8.0 	

Butts	1 	* 	1 	* 	1 	* 	 	0.0 	2 	* 	1 	* 	4 	* 	 	0.0 	6 	25.9 	5 	21.0 	3 	* 	4 	* 	3 	* 	7 	29.8 	2 	* 	4 	* 	6 	25.4 	4 	* 	54 	13.4 	

Calhoun	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	1 	* 	4 	* 	

Candler	 	0.0 	 	0.0 	2 	* 	 	0.0 	2 	* 	3 	* 	 	0.0 	2 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	3 	* 	2 	* 	1 	* 	17 	9.0 	

Charlton	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	4 	* 	 	0.0 	3 	* 	1 	* 	14 	6.5 	

Chattahoochee	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	2 	* 	1 	* 	 	0.0 	1 	* 	 	0.0 	1 	* 	1 	* 	1 	* 	2 	* 	 	0.0 	 	0.0 	9 	3.8 	

Chattooga	 	0.0 	4 	* 	3 	* 	5 	19.5 	4 	* 	1 	* 	2 	* 	3 	* 	4 	* 	7 	26.8 	5 	19.3 	5 	19.2 	3 	* 	7 	27.2 	3 	* 	3 	* 	4 	* 	7 	28.2 	70 	15.2 	

Clay	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	4 	* 	

Clinch	1 	* 	1 	* 	1 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	1 	* 	1 	* 	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	 	0.0 	 	0.0 	1 	* 	8 	6.5 	

Cook	 	0.0 	 	0.0 	1 	* 	 	0.0 	 	0.0 	2 	* 	4 	* 	 	0.0 	 	0.0 	3 	* 	3 	* 	1 	* 	1 	* 	2 	* 	3 	* 	2 	* 	4 	* 	 	0.0 	26 	8.7 	

