Deaths  by Residence, All Opioids, Female
		1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Selected Years Total
		Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 

Appling	 	 	 	 	 	 	 	 	1 	 	 	 	1 	1 	1 	1 	 	1 	6 	

Atkinson	 	 	 	 	 	 	 	 	 	 	1 	1 	 	 	 	 	 	 	2 	

Bacon	 	 	 	 	 	 	 	 	1 	1 	 	2 	 	 	 	 	 	 	4 	

Baker	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Banks	 	1 	 	 	 	 	1 	 	 	 	1 	 	2 	1 	 	 	2 	1 	9 	

Ben Hill	 	 	 	 	2 	 	 	 	 	 	 	 	 	 	2 	 	 	 	4 	

Berrien	 	 	 	 	 	 	 	 	 	 	1 	1 	 	1 	 	 	 	 	3 	

Bleckley	 	 	 	1 	1 	 	 	 	 	 	 	 	 	1 	1 	 	1 	 	5 	

Brantley	 	 	 	 	 	1 	1 	 	 	 	1 	1 	1 	1 	 	2 	2 	3 	13 	

Brooks	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	1 	

Bryan	 	1 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	2 	 	5 	

Burke	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	1 	1 	4 	

Butts	 	 	 	 	1 	 	1 	 	2 	1 	 	 	 	1 	1 	3 	2 	1 	13 	

Calhoun	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Candler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2 	1 	1 	4 	

Charlton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Chattahoochee	 	 	 	 	 	 	 	 	1 	 	1 	 	 	 	1 	 	 	 	3 	

Chattooga	 	 	 	2 	1 	 	 	 	1 	2 	1 	1 	1 	3 	 	1 	1 	3 	17 	

Clay	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	1 	

Clinch	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	 	 	1 	

Cook	 	 	 	 	 	1 	 	 	 	 	 	 	1 	 	 	 	1 	 	3 	

Crawford	 	 	1 	 	 	 	 	 	1 	 	 	1 	1 	 	1 	1 	 	 	6 	

Crisp	 	 	 	 	1 	 	 	 	 	 	 	 	 	1 	 	1 	 	 	3 	

Dade	 	 	 	 	 	 	1 	1 	 	 	 	 	 	3 	 	 	1 	 	6 	

Dawson	 	 	 	1 	 	 	 	1 	1 	 	2 	2 	1 	2 	1 	1 	2 	2 	16 	

Decatur	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	1 	 	1 	 	3 	

Dodge	 	 	1 	 	 	1 	 	 	 	3 	2 	 	 	 	 	 	1 	3 	11 	

Dooly	 	 	 	1 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	2 	

Early	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Echols	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Elbert	 	1 	 	 	 	1 	 	1 	1 	1 	 	 	1 	 	 	2 	2 	 	10 	

Emanuel	 	 	 	 	 	 	 	 	1 	1 	 	 	 	 	 	2 	 	 	4 	

Evans	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	 	1 	3 	

Fannin	 	 	 	1 	1 	1 	2 	 	3 	 	 	1 	1 	1 	4 	 	1 	4 	20 	

Franklin	 	 	 	 	 	 	 	 	2 	 	3 	 	2 	3 	2 	1 	2 	2 	17 	

Gilmer	 	 	 	 	 	1 	1 	 	1 	 	3 	1 	 	4 	1 	2 	 	2 	16 	

Glascock	 	 	 	 	 	 	 	 	 	1 	1 	 	 	 	 	 	 	 	2 	

Grady	 	 	 	 	 	 	 	 	 	1 	2 	 	 	 	 	 	1 	 	4 	

Greene	 	 	 	 	 	 	 	 	 	 	 	1 	2 	 	 	 	1 	 	4 	

Hancock	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Haralson	1 	 	1 	 	 	 	1 	1 	 	1 	7 	5 	2 	3 	1 	2 	6 	7 	38 	

Harris	 	 	 	 	 	 	1 	 	 	 	1 	2 	1 	 	1 	1 	 	2 	9 	

Hart	 	 	1 	 	 	1 	 	 	1 	 	 	 	 	 	 	1 	1 	 	5 	

Heard	1 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	3 	

Irwin	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	1 	

Jasper	 	 	1 	 	 	1 	 	 	 	 	 	 	1 	 	1 	 	 	1 	5 	

Jeff Davis	 	 	 	 	 	1 	 	1 	1 	 	 	1 	1 	1 	3 	2 	 	1 	12 	

Jefferson	 	 	 	 	 	 	 	1 	 	 	1 	1 	 	 	 	1 	 	 	4 	

Jenkins	 	 	 	1 	 	 	 	 	 	1 	 	 	1 	 	 	 	 	1 	4 	

Johnson	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	 	 	 	1 	

