County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Appling,40,40,39.5,33.8,50.8,50.8,50.8,33.1,71.2,65.1,59.9,59.9,37.8,135.5,282.2
Atkinson,0,0,0,0,0,0,83.7,83.7,83.7,83.7,0,0,0,59.5,169.2
Bacon,48.8,48.8,48.8,48.8,0,0,0,44.9,44.9,116,53.6,62.4,62.4,247.8,237.4
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin,26.5,11,17.4,17.3,21.5,38,20.9,44.6,37.2,29.3,34.5,21.7,32.7,112.2,518.3
Banks,31.6,31.6,43.1,53.9,53.9,34.2,33.4,38.4,38,54.8,65.5,32.6,54.7,124.4,364.2
Barrow,35.7,42.1,47.2,44.9,42.3,69.5,32.7,43.8,48.8,47.2,72.7,64.4,62.8,172.5,392.9
Bartow,68.6,53.7,44.4,67.5,72.1,47,52.8,72.1,78.8,54.8,58.6,57.3,56,163.5,512.5
Ben Hill,34.9,64.3,64.3,29,39.9,39.5,39.5,39.5,34,34,34,68.5,68.5,120.7,377
Berrien,48,29.4,29.4,29.4,27.7,27.7,27.7,27.7,51.8,51.8,57.8,57.8,53.5,79.1,342.2
Bibb,24,35.1,39.6,35.1,38.2,39.5,39.5,38.7,35.3,44.7,31.3,35.5,41.6,184.8,541.4
Bleckley,0,0,0,0,0,0,38.5,61.4,38.2,38.2,38.7,38.7,0,89.8,215.9
Brantley,32.1,50.3,50.3,30.2,47.4,34.9,51.2,51.2,70.5,119.8,102.2,92.9,38,173.4,375.9
Brooks,49,49,49,49,49,49,49,49,49,37.8,32.5,32.2,32.2,146.9,420.7
Bryan,41,39.9,42.2,33.9,51.2,31.8,34.3,50,36.2,35.1,34.1,39.2,14.7,88.2,245.7
Bulloch,59.3,62.4,42.7,25.4,40.4,24.3,17.9,13.1,15.6,15.1,20.6,32.3,31.9,79.8,218.1
Burke,26.5,26.5,26.5,39.2,26.2,30.5,52,47.6,25.7,38.3,30.3,26.2,39.6,109.9,216
Butts,47.6,60.4,41.5,22.7,22.1,56.1,67.2,29.6,25.3,114.9,51,64.2,47.1,127.2,436.7
Calhoun,0,0,0,0,0,0,0,0,89.6,89.6,89.6,0,0,92.6,126.5
Camden,39.7,13.5,34.7,17.1,40.4,34.7,74.4,52,63.1,53.6,42.8,52.5,42.3,128.6,243.4
Candler,50.3,50.3,79.7,118.1,118.1,47.2,46.8,46.8,46.8,46.8,46.8,0,73.5,137.8,366.6
Carroll,42.5,25.7,28.1,36.1,31.2,35.8,27.2,29,37.1,47.7,45.7,44.5,64,139.7,422.3
Catoosa,26.8,34.7,39.1,18.4,21.3,21.3,25.3,14.1,26.6,29.4,40,24.5,24.4,68.1,174.7
Charlton,52.7,52.7,52.7,52.7,52.7,52.7,0,0,0,0,0,0,0,0,192
Chatham,53.7,39.6,32.8,38.4,41.7,53.6,55.6,40.8,45.1,49.3,45.9,49.2,48,122,370.1
Chattahoochee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.4
Chattooga,38.9,34.6,31.3,43.1,23.4,30.5,19.1,19.3,26.9,46.6,27.2,35.8,28.1,92.3,298.1
Cherokee,29.6,34.4,28.3,35.7,29,30.1,33.1,36.8,59.5,66.4,52.9,48.4,49.4,120.4,353.8
Clarke,7.6,16.9,16.4,27.4,35.7,31.6,34.6,40.2,61.7,59.7,55.7,55.3,62,204.2,683.2
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,11.2,13.5,14.5,14.8,15.5,13.8,23.7,18.5,19.3,21.8,22.9,17.8,25,51.8,195.7
Clinch,0,0,0,0,0,0,0,0,0,0,0,0,0,130.6,585.7
Cobb,23,22.7,31.2,29.4,28.9,36.1,37.7,41.3,45.9,46,46.5,41.8,49.9,122.1,403.9
Coffee,51.6,61.3,38.1,50.2,54.1,60.5,64.6,33.3,49.6,21,60.2,44,58.4,150.8,369.7
Colquitt,28.2,28.2,32.6,37.2,18.3,27.1,27.1,28.8,41.6,35.1,23.8,36.7,17.4,128.7,345.7
Columbia,9.4,19.2,19.4,25.4,15.3,16.5,23,16.5,20,21.9,34.9,45,41.6,69.4,172.3
Cook,37.5,31.1,31.1,31.1,84.2,84.2,84.2,84.2,29,58.4,59.1,46.9,46.9,81.8,250.5
Coweta,22.6,8,28.8,22.1,22.9,41.5,37.6,35.9,46.9,36.3,49.6,33.8,42,97.5,319.5
Crawford,46.6,46.6,46.6,46.6,61.8,38.8,61.7,70.8,71.5,55.7,47.6,56,56.5,145.3,446.4
Crisp,58.3,22.5,35.8,53.4,53.4,34.6,38.7,38.7,38.7,33.7,33.9,42.9,39.2,144.2,418.1
Dade,0,0,0,0,0,0,0,0,30.1,30.1,30.1,30.1,30.1,49.2,73.8
