"Deaths  by Residence, All Opioids, Male",Column,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths 
Appling, , , , , , , , , , , , ,2 ,1 , , ,1 ,2 ,6 
Atkinson, , , , , , ,1 , , , , , ,1 ,2 ,1 ,1 , ,1 ,7 
Bacon, , , , , , , , , , , , , , , ,2 , , ,2 
Baker, , , , , , , , , , , , , , , , , , , 
Banks, ,1 , ,1 ,1 ,1 , , ,1 ,2 ,1 ,1 ,2 ,2 , ,1 ,1 ,2 ,17 
Ben Hill, , , , , , , , , , , , , , ,1 , , ,1 ,2 
Berrien, , , , , , ,1 , , , , , , ,1 ,2 , , , ,4 
Bleckley,1 , ,1 ,2 ,1 , ,1 , , , , , , , ,1 , ,1 , ,8 
Brantley, , ,1 , ,1 ,3 , ,1 ,3 , ,2 , ,5 ,2 ,1 , ,1 ,3 ,23 
Brooks, , , , ,1 , ,1 , , , , , , , ,1 , ,1 , ,4 
Bryan, , , , , , , , , , , , , ,1 ,1 , ,1 , ,3 
Burke, , , , , , , , ,1 ,1 , , ,1 , ,1 , ,1 ,2 ,7 
Butts, ,1 , , ,1 , ,2 , ,1 ,2 ,3 ,4 ,2 ,4 ,1 , ,2 ,2 ,25 
Calhoun, , , , , , , , , , , , , , , , , ,1 ,1 
Candler, , ,1 , ,1 , , , , , ,1 , , , , ,1 ,1 , ,5 
Charlton, , , , , ,1 , , , , , , , ,1 ,3 , ,1 , ,6 
Chattahoochee, , , , , , , , , , , , , ,1 , ,1 , , ,2 
Chattooga, ,1 ,1 ,1 , , , , ,1 ,1 ,1 , , ,2 ,1 , ,1 ,1 ,11 
Clay, , , , , , , , , , , , , , , , , , , 
Clinch, , , , , , , , , , , , ,1 , , , , , ,1 
Cook, , , , , ,1 ,1 , , ,1 ,2 ,1 , ,1 ,1 , ,2 , ,10 
Crawford, ,1 , , ,1 ,1 , ,1 , , , ,1 ,2 ,1 , , , ,2 ,10 
Crisp, , , , , ,1 , , ,1 , , ,2 , ,2 , , , , ,6 
Dade, , , , , , ,1 , , ,2 , ,3 ,1 , , , , , ,7 
Dawson, , , , , ,1 , ,1 , ,1 , , , ,1 ,1 ,3 ,2 ,1 ,11 
Decatur, , , , , , , , , ,1 , , , , , ,1 , , ,2 
Dodge, ,1 ,1 , ,1 ,1 ,1 , ,4 ,1 , ,2 , ,2 ,1 , , , ,15 
Dooly, , , , , , , ,1 , , , , , , , ,1 , , ,2 
Early, , , , , , , , , , , , , , , , , , , 
Echols, , , ,1 , , , , , , , , , , ,1 , , , ,2 
Elbert, ,1 , ,1 , ,2 ,2 , ,1 ,3 ,1 , , ,1 ,2 ,1 , ,1 ,16 
Emanuel, , , , ,1 , , , , , , , , , ,3 ,1 , ,1 ,6 
Evans, , , , , , , , , , , , , , , , , , , 
Fannin, , ,1 ,1 ,1 , ,1 ,3 ,2 ,3 ,6 ,6 , , ,3 ,3 ,2 ,1 ,33 
Franklin, , , ,1 , , ,2 , , , ,2 ,4 ,3 ,1 ,1 ,2 ,2 ,1 ,19 
Gilmer, ,1 , , , ,1 ,1 , , ,1 ,2 , ,1 ,1 ,1 ,2 ,2 ,3 ,16 
Glascock, , , , , , , , , ,1 , , , , , , , , ,1 
Grady, , , , , , , , , , ,2 ,1 , ,1 , ,1 , , ,5 
Greene, , , , , , ,1 , ,1 , , , , , ,1 , ,1 ,1 ,5 
Hancock, , , , , , , , , , , , , , , , , , , 
Haralson, , , ,3 ,1 , ,2 ,1 ,7 ,1 ,3 ,5 ,3 ,3 ,3 ,4 ,4 ,2 ,42 
Harris, ,1 , , ,1 , ,1 ,1 , , ,2 , , ,2 , ,1 ,1 ,3 ,13 
Hart, ,1 ,2 ,1 , ,2 ,2 , , ,2 , ,1 ,1 , , ,1 ,1 ,2 ,16 
Heard, , , , ,1 , , , ,2 ,2 ,2 ,1 ,2 ,1 ,1 , , , ,12 
Irwin, , , , , , , , , , , , , , , ,1 , ,1 ,2 
Jasper, , , , , , , , , ,1 , , ,1 ,1 ,1 ,1 , , ,5 
Jeff Davis, , , ,1 ,1 , ,1 ,4 , , ,1 ,4 , ,1 ,1 , , ,3 ,17 
Jefferson, , , , , , , , ,1 , ,1 , , , ,1 , , , ,3 
Jenkins, , , , , , ,1 ,1 , , , , , , , , , , ,2 
Johnson, , ,1 , , ,1 ,1 , , , , , , , , ,2 ,1 , ,6 
Jones, ,1 ,1 ,4 , , ,1 ,1 ,2 , ,2 , ,1 ,1 ,1 ,1 ,3 ,2 ,21 
Lamar,1 , ,1 , , ,1 ,1 , ,1 , , ,1 ,1 , ,1 , ,2 ,1 ,11 
Lanier, , , , , , , , , , , ,2 , , , , , , ,2 
Lee, , , ,1 ,1 ,2 ,1 , ,1 , ,2 , , ,2 ,1 , ,2 , ,13 
Lincoln, , , , , , , , , , ,1 , ,1 , , , , ,1 ,3 
Long, , , , , , , , , ,1 ,1 , , , , ,1 , ,1 ,4 
Lumpkin, , , , , , ,1 , ,2 , ,3 ,1 , , ,3 ,3 ,1 , ,14 
McDuffie, , , , , ,1 , , ,1 , ,1 , , ,1 ,1 , , , ,5 
McIntosh, , , , , , ,1 ,1 ,1 , ,1 ,1 , , , ,2 ,1 ,1 ,9 
Macon, , , , , , , , , , , , , , , , , , , 
Madison, , ,2 ,2 ,1 ,2 ,2 ,2 ,1 , ,2 , ,1 ,1 ,2 ,7 ,2 ,3 ,30 
Marion, , , , , , , , ,1 , , , , , ,1 ,1 , ,1 ,4 
Meriwether, , , ,1 , , ,1 ,1 ,1 ,2 , ,1 , ,2 ,1 ,3 ,2 , ,15 
Miller, , , , , , , ,1 , , , , , , , , , , ,1 
Mitchell, , , , , , , , , , ,1 ,1 , , ,1 ,1 ,1 , ,5 
Monroe, ,1 ,2 , , , , ,2 , ,1 , , , ,1 ,1 ,2 ,1 , ,11 
Montgomery, , , , , , , , , , , , ,1 ,1 , , , , ,2 
Morgan, , , , , , , ,1 , , ,1 , ,2 ,1 , ,3 , , ,8 
Oconee, , , , ,1 ,1 , , , ,1 ,1 ,1 ,6 , ,1 ,1 ,2 , ,15 
Oglethorpe, , , , , , , , ,3 ,1 , , ,1 ,2 , ,1 ,2 , ,10 
Peach, , ,1 , , , , , , ,2 ,1 , ,1 , , , ,2 , ,7 
Pickens, ,1 ,1 , , , ,1 , ,1 ,3 ,3 ,5 ,1 ,2 ,3 ,2 , ,3 ,26 
Pierce, ,1 , ,1 , , ,1 , ,1 , ,1 ,1 ,1 , ,1 ,2 , ,3 ,13 
Pike,2 ,1 , , , , , , , , , ,1 , , , ,1 , ,1 ,6 
Pulaski, , , , , , , , , , , , ,1 , , , , ,2 ,3 
Putnam, , , ,1 ,1 ,1 , , , , ,1 , ,1 , ,4 ,2 ,1 , ,12 
Quitman, , , , , , , , , , , , , , , , , , , 
Rabun, , , ,2 , , , ,1 ,2 , ,2 ,1 ,1 , ,1 ,1 , ,1 ,12 
Randolph, , , , , , , , , , , , , , , , , , , 
Schley, , , , , , , , , , , , , , , , , , , 
Screven, , , , , , , , , , , , , , , , , , , 
Seminole, , , , , , , , , , , , , , , , , , , 
Stephens, , ,2 , ,1 ,1 ,1 ,1 , ,3 ,2 ,1 ,3 ,4 , ,3 ,1 ,2 ,25 
Stewart, , , , , , , , , , , , , , , , , ,1 ,1 
Sumter, , , , , , ,1 , , , , ,1 , ,1 , ,1 , , ,4 
Talbot, , , , , , , , , , , , , , , , , , , 
