"Deaths  by Residence, Drug Overdoses",Column,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths ,Deaths 
Appling,2 ,1 ,1 ,1 ,1 , ,1 , ,1 ,2 , ,3 ,3 ,3 ,1 ,3 ,3 ,3 ,29 
Atkinson,1 , , , , , ,1 , , , ,1 ,1 ,1 ,4 ,1 ,1 , ,1 ,12 
Bacon, , ,1 ,2 ,2 , , ,1 ,4 ,2 , ,2 ,2 , ,3 ,2 , , ,21 
Baker, , , , , , , , , , , , , , , , ,1 , ,1 
Banks, ,3 , ,1 ,3 ,1 ,1 ,1 ,3 ,3 ,3 ,1 ,6 ,5 , ,2 ,3 ,4 ,40 
Ben Hill,1 ,1 , , ,2 , , , ,1 , , ,1 , ,1 ,3 ,1 ,1 ,1 ,13 
Berrien, ,1 , , , , ,1 ,3 ,1 ,1 ,1 ,2 , ,2 ,4 , , ,1 ,17 
Bleckley,1 , ,1 ,4 ,3 , ,3 , , ,1 , , , ,1 ,2 ,1 ,3 ,1 ,21 
Brantley, , ,2 ,1 ,1 ,4 ,4 ,2 ,4 ,1 ,6 ,3 ,7 ,3 ,2 ,3 ,5 ,7 ,55 
Brooks, , , , ,1 , ,1 , ,1 ,1 , ,1 ,2 , ,1 ,1 ,1 ,1 ,11 
Bryan, ,1 , ,3 ,2 ,1 , , ,1 ,3 ,3 ,1 , ,1 ,2 ,1 ,4 , ,23 
Burke,3 ,1 ,1 ,2 ,1 ,1 , ,2 ,3 ,3 ,1 ,2 ,1 ,1 ,3 ,1 ,3 ,4 ,33 
Butts,1 ,1 ,1 , ,2 ,1 ,4 , ,6 ,5 ,3 ,4 ,3 ,7 ,2 ,4 ,6 ,4 ,54 
Calhoun, , , ,1 , , , , , , , , , ,1 , , ,1 ,1 ,4 
Candler, , ,2 , ,2 ,3 , ,2 ,1 , ,1 , , , , ,3 ,2 ,1 ,17 
Charlton, ,1 , ,1 , ,1 ,1 ,1 , , , , , ,1 ,4 , ,3 ,1 ,14 
Chattahoochee, , , , , , , ,2 ,1 , ,1 , ,1 ,1 ,1 ,2 , , ,9 
Chattooga, ,4 ,3 ,5 ,4 ,1 ,2 ,3 ,4 ,7 ,5 ,5 ,3 ,7 ,3 ,3 ,4 ,7 ,70 
Clay, , , , , , , , ,1 , ,1 , , , ,1 , , ,1 ,4 
Clinch,1 ,1 ,1 , , ,1 , , ,1 ,1 , , ,1 , , , , ,1 ,8 
Cook, , ,1 , , ,2 ,4 , , ,3 ,3 ,1 ,1 ,2 ,3 ,2 ,4 , ,26 
Crawford, ,1 ,1 , ,1 ,2 ,1 ,2 ,2 ,1 ,1 ,3 ,6 ,2 ,1 ,1 , ,3 ,28 
Crisp,1 ,2 , , ,2 ,1 , ,2 ,3 ,3 , ,2 ,1 ,3 ,1 ,2 , ,1 ,24 
Dade, , ,2 , , ,1 ,2 ,1 , ,4 , ,3 ,2 ,3 , ,2 ,1 , ,21 
Dawson, , , ,1 , ,2 ,1 ,5 ,3 ,2 ,3 ,4 ,2 ,6 ,3 ,4 ,7 ,5 ,48 
Decatur, , , , , ,2 ,1 ,1 ,2 ,2 ,2 ,1 , , ,4 ,2 ,3 ,3 ,23 
Dodge, ,1 ,2 , ,2 ,3 ,3 ,2 ,5 ,5 ,3 ,2 ,2 ,4 ,1 , ,4 ,4 ,43 
