Deaths  by Residence, All Opioids
		1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Selected Years Total
		Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 

Appling	 	 	 	 	 	 	 	 	1 	 	 	 	3 	2 	1 	1 	1 	3 	12 	

Atkinson	 	 	 	 	 	 	1 	 	 	 	1 	1 	1 	2 	1 	1 	 	1 	9 	

Bacon	 	 	 	 	 	 	 	 	1 	1 	 	2 	 	 	 	2 	 	 	6 	

Baker	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Banks	 	2 	 	1 	1 	1 	1 	 	1 	2 	2 	1 	4 	3 	 	1 	3 	3 	26 	

Ben Hill	 	 	 	 	2 	 	 	 	 	 	 	 	 	 	3 	 	 	1 	6 	

Berrien	 	 	 	 	 	 	1 	 	 	 	1 	1 	 	2 	2 	 	 	 	7 	

Bleckley	1 	 	1 	3 	2 	 	1 	 	 	 	 	 	 	1 	2 	 	2 	 	13 	

Brantley	 	 	1 	 	1 	4 	1 	1 	3 	 	3 	1 	6 	3 	1 	2 	3 	6 	36 	

Brooks	 	 	 	 	1 	 	1 	 	 	 	 	 	1 	 	1 	 	1 	 	5 	

Bryan	 	1 	 	 	 	 	 	 	 	 	 	 	 	1 	2 	1 	3 	 	8 	

Burke	 	 	 	 	 	 	 	 	1 	1 	 	 	1 	 	2 	1 	2 	3 	11 	

Butts	 	1 	 	 	2 	 	3 	 	3 	3 	3 	4 	2 	5 	2 	3 	4 	3 	38 	

Calhoun	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Candler	 	 	1 	 	1 	 	 	 	 	 	1 	 	 	 	 	3 	2 	1 	9 	

Charlton	 	 	 	 	 	1 	 	 	 	 	 	 	 	1 	3 	 	1 	1 	7 	

Chattahoochee	 	 	 	 	 	 	 	 	1 	 	1 	 	 	1 	1 	1 	 	 	5 	

Chattooga	 	1 	1 	3 	1 	 	 	 	2 	3 	2 	1 	1 	5 	1 	1 	2 	4 	28 	

Clay	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	1 	

Clinch	 	 	 	 	 	 	 	 	 	1 	 	 	1 	 	 	 	 	 	2 	

Cook	 	 	 	 	 	2 	1 	 	 	1 	2 	1 	1 	1 	1 	 	3 	 	13 	

Crawford	 	1 	1 	 	1 	1 	 	1 	1 	 	 	2 	3 	1 	1 	1 	 	2 	16 	

Crisp	 	 	 	 	1 	1 	 	 	1 	 	 	2 	 	3 	 	1 	 	 	9 	

Dade	 	 	 	 	 	 	2 	1 	 	2 	 	3 	1 	3 	 	 	1 	 	13 	

Dawson	 	 	 	1 	 	1 	 	2 	1 	1 	2 	2 	1 	3 	2 	4 	4 	3 	27 	

Decatur	 	 	 	 	 	 	 	 	 	2 	 	 	 	 	1 	1 	1 	 	5 	

Dodge	 	1 	2 	 	1 	2 	1 	 	4 	4 	2 	2 	 	2 	1 	 	1 	3 	26 	

Dooly	 	 	 	1 	 	 	 	1 	 	 	 	 	 	1 	 	1 	 	 	4 	

Early	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Echols	 	 	 	1 	 	 	 	 	 	 	 	 	 	 	1 	 	 	 	2 	

Elbert	 	2 	 	1 	 	3 	2 	1 	2 	4 	1 	 	1 	1 	2 	3 	2 	1 	26 	

Emanuel	 	 	 	 	1 	 	 	 	1 	1 	 	 	 	 	3 	3 	 	1 	10 	

Evans	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	 	1 	3 	

Fannin	 	 	1 	2 	2 	1 	3 	3 	5 	3 	6 	7 	1 	1 	7 	3 	3 	5 	53 	

Franklin	 	 	 	1 	 	 	2 	 	2 	 	5 	4 	5 	4 	3 	3 	4 	3 	36 	

Gilmer	 	1 	 	 	 	2 	2 	 	1 	1 	5 	1 	1 	5 	2 	4 	2 	5 	32 	

Glascock	 	 	 	 	 	 	 	 	 	2 	1 	 	 	 	 	 	 	 	3 	

Grady	 	 	 	 	 	 	 	 	 	1 	4 	1 	 	1 	 	1 	1 	 	9 	

Greene	 	 	 	 	 	 	1 	 	1 	 	 	1 	2 	 	1 	 	2 	1 	9 	

Hancock	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Haralson	1 	 	1 	3 	1 	 	3 	2 	7 	2 	10 	10 	5 	6 	4 	6 	10 	9 	80 	

Harris	 	1 	 	 	1 	 	2 	1 	 	 	3 	2 	1 	2 	1 	2 	1 	5 	22 	

Hart	 	1 	3 	1 	 	3 	2 	 	1 	2 	 	1 	1 	 	 	2 	2 	2 	21 	

Heard	1 	 	 	 	1 	 	 	 	2 	2 	2 	1 	2 	1 	1 	1 	 	1 	15 	

Irwin	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	 	1 	3 	

Jasper	 	 	1 	 	 	1 	 	 	 	1 	 	 	2 	1 	2 	1 	 	1 	10 	

Jeff Davis	 	 	 	1 	1 	1 	1 	5 	1 	 	1 	5 	1 	2 	4 	2 	 	4 	29 	

