Deaths  by Residence, Both Heroin and Opioid Pain Reliever (OPR), White
		1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	Selected Years Total
		Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 	Deaths 

Appling	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Atkinson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Bacon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Baker	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Banks	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Ben Hill	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Berrien	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Bleckley	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Brantley	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Brooks	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Bryan	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Burke	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Butts	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Calhoun	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Candler	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Charlton	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Chattahoochee	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Chattooga	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Clay	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Clinch	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Cook	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Crawford	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Crisp	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Dade	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Dawson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Decatur	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Dodge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Dooly	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	1 	

Early	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Echols	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Elbert	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Emanuel	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Evans	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Fannin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Franklin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Gilmer	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Glascock	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Grady	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Greene	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Hancock	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Haralson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	1 	

Harris	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	1 	

Hart	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Heard	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Irwin	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Jasper	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1 	 	 	1 	

Jeff Davis	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Jefferson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Jenkins	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Johnson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Jones	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Lamar	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Lanier	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Lee	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

Lincoln	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	

