,County,EMS_COUNT
0,Dougherty,3
1,Bacon,1
2,Fulton,1
3,Turner,1
4,Clarke,3
5,Fulton,4
6,Richmond,4
7,Cobb,2
8,Decatur,1
9,Appling,4
10,Fulton,1
11,Pierce,1
12,Union,1
13,Early,1
14,Fannin,1
15,Jackson,1
16,Haralson,1
17,Glynn,1
18,Marion,1
19,Gwinnett,1
20,Taylor,1
21,Peach,1
22,Grady,1
23,Gordon,1
24,Mitchell,1
25,Cherokee,1
26,Franklin,1
27,Carroll,1
28,Bartow,1
29,Early,1
30,Polk,1
31,Murray,1
32,Walker,1
33,Evans,1
34,Rabun,1
35,White,1
36,Bleckley,3
37,Madison,1
38,Miller,1
39,Muscogee,2
40,Rockdale,2
41,Crisp,1
42,Newton,1
43,Oglethorpe,1
44,Forsyth,2
45,Randolph,1
46,Lumpkin,1
47,Paulding,2
48,Whitfield,2
49,Madison,1
50,McIntosh,1
51,Terrell,1
52,Dawson,1
53,DeKalb,2
54,Habersham,1
55,Seminole,1
56,Coffee,1
57,Douglas,1
58,Laurens,1
59,Dodge,1
60,Putnam,1
61,Elbert,1
62,Schley,1
63,Gilmer,1
64,Fayette,3
65,Ben Hill,2
66,Charlton,1
67,Clayton,1
68,Monroe,1
69,Peach,1
70,Heard,1
71,Clay,1
72,Hall,5
73,Quitman,1
74,Greene,1
75,Meriwether,1
76,Spalding,1
77,Harris,1
78,Fulton,2
79,Hart,1
80,Pulaski,1
81,Jeff Davis,1
82,Towns,1
83,Liberty,1
84,Banks,1
85,Clinch,1
86,Madison,1
87,Butts,1
88,Pickens,2
89,Jackson,1
90,Glynn,1
91,Wayne,1
92,Cobb,1
93,Camden,2
94,Troup,1
95,Clayton,1
96,Lanier,2
97,Gwinnett,1
98,Lee,1
99,Cook,1
100,Gwinnett,2
101,Lincoln,1
102,Jefferson,1
103,Stewart,1
104,Toombs,1
105,Bibb,2
106,Cobb,2
107,Henry,1
108,Telfair,1
109,Candler,1
110,Columbus,1
111,Baldwin,1
112,Jenkins,1
113,Walton,1
114,Macon,1
115,Montgomery,1
116,Jasper,1
117,Calhoun,1
118,Clayton,2
119,Colquitt,1
120,Brantley,1
121,Berrien,1
122,Coweta,2
123,Baker,1
124,Gwinnett,1
125,Irwin,1
126,Fayette,1
127,Bryan,1
128,Webster,1
129,Brooks,1
130,Tattnall,1
131,Clayton,2
132,Wilcox,1
133,Floyd,2
134,Walker,2
135,Fulton,3
136,Washington,1
137,Chatham,3
138,Gwinnett,1
139,Treutlen,2
140,Hancock,1
141,Effingham,1
142,Bulloch,1
143,Henry,2
144,DeKalb,1
145,Chattooga,1
146,Emanuel,1
147,Screven,1
148,Worth,1
149,Talbot,1
150,Upson,1
151,Thomas,2
152,McDuffie,1
153,Tift,1
154,Stephens,1
155,Dade,1
156,DeKalb,2
157,Lowndes,1
158,Dooly,1
159,Houston,1
160,Warren,1
161,Wilkes,1
162,Oconee,1
163,Ware,3
164,Burke,1
165,Troup,1
166,Barrow,2
167,Cherokee,1
168,Johnson,1
169,Pike,1
