,County,Rehab_Count
0,Gwinnett,1
1,Cook,5
2,Berrien,1
3,Dougherty,4
4,Sumter,4
5,Clarke,10
6,Fulton,31
7,Richmond,7
8,Cobb,2
9,Decatur,1
10,Cherokee,1
11,Lamar,4
12,Union,2
13,Glynn,1
14,Grady,1
15,Mitchell,1
16,Cherokee,1
17,Carroll,2
18,Bartow,2
19,Polk,1
20,DeKalb,1
21,Murray,1
22,DeKalb,2
23,Bleckley,2
24,Fulton,2
25,Miller,1
26,Muscogee,14
27,Jackson,1
28,Rockdale,6
29,Newton,3
30,Forsyth,2
31,Lumpkin,3
32,Whitfield,3
33,Madison,1
34,Terrell,1
35,DeKalb,13
36,Habersham,1
37,Seminole,1
38,DeKalb,1
40,Coffee,3
41,Douglas,2
42,Laurens,3
43,Laurens,1
44,DeKalb,1
45,Dodge,2
46,Elbert,3
47,Columbia,1
48,Fayette,3
49,Catoosa,1
50,Peach,1
51,Catoosa,1
52,Hall,5
53,Greene,1
54,Meriwether,1
55,Spalding,5
56,Lowndes,1
57,Harris,1
58,Hart,1
59,Liberty,2
60,Butts,3
61,Jackson,1
62,Wayne,1
63,Clayton,2
64,Cobb,2
65,Walker,1
66,Walker,1
67,Troup,3
68,Lowndes,1
69,Gwinnett,5
70,Lee,2
71,Douglas,1
72,DeKalb,1
73,Jefferson,1
75,Lowndes,1
76,Long,1
77,Bibb,8
78,Morgan,1
79,Cobb,4
80,Henry,3
81,Candler,1
82,Baldwin,6
83,Walton,4
84,Clayton,1
85,Colquitt,1
86,Coweta,4
87,Gwinnett,5
88,Fayette,1
89,Mitchell,1
90,Houston,1
91,Worth,1
92,Tattnall,1
93,Clayton,2
94,Crawford,1
95,Floyd,2
96,Fulton,2
97,Washington,1
98,Chatham,6
99,Cobb,2
100,Effingham,1
101,Bulloch,5
102,Henry,1
103,DeKalb,1
104,Chattooga,1
105,Emanuel,2
106,Screven,1
107,Worth,1
108,Talbot,1
109,Habersham,1
110,Upson,2
111,Thomas,1
112,McDuffie,2
113,Tift,2
114,Stephens,1
115,Dade,1
116,DeKalb,1
117,Fulton,1
118,Greene,1
119,Lowndes,5
120,Toombs,2
121,Meriwether,1
122,Houston,1
123,Wilkes,1
124,Ware,2
125,Burke,1
126,Wade,1
127,Barrow,4
128,Cherokee,1
