County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Appling,0.243,0.266,0.238,0.257,0.253,0.299,0.295,0.297,0.313,0.337,0.357,0.34,0.348,0.403,0.365,0.342
Atkinson,0.279,0.315,0.29,0.289,0.274,0.353,0.321,0.317,0.348,0.372,0.581,0.443,0.384,0.384,0.377,0.405
Bacon,0.32,0.265,0.251,0.249,0.262,0.306,0.285,0.29,0.298,0.317,0.355,0.353,0.338,0.365,0.394,0.368
Baker,0.326,0.291,0.298,0.295,0.31,0.386,0.376,0.397,0.365,0.411,0.406,0.419,0.415,0.432,0.413,0.419
Baldwin,0.231,0.225,0.211,0.229,0.244,0.248,0.249,0.242,0.273,0.284,0.345,0.359,0.367,0.402,0.348,0.355
Banks,0.151,0.21,0.177,0.184,0.184,0.197,0.203,0.191,0.215,0.239,0.247,0.28,0.269,0.274,0.274,0.244
Barrow,0.092,0.131,0.139,0.143,0.135,0.143,0.151,0.17,0.156,0.171,0.177,0.226,0.204,0.205,0.193,0.213
Bartow,0.101,0.155,0.161,0.168,0.16,0.19,0.174,0.168,0.18,0.187,0.219,0.287,0.239,0.254,0.206,0.215
Ben Hill,0.334,0.306,0.268,0.284,0.297,0.355,0.37,0.326,0.337,0.38,0.415,0.432,0.449,0.44,0.404,0.469
Berrien,0.257,0.258,0.242,0.262,0.263,0.287,0.291,0.291,0.332,0.338,0.337,0.347,0.359,0.354,0.362,0.369
Bibb,0.284,0.27,0.273,0.283,0.296,0.361,0.297,0.356,0.311,0.309,0.387,0.35,0.414,0.446,0.426,0.416
Bleckley,0.246,0.246,0.228,0.238,0.231,0.246,0.255,0.264,0.269,0.281,0.271,0.286,0.31,0.287,0.318,0.317
Brantley,0.207,0.255,0.242,0.251,0.251,0.254,0.278,0.257,0.271,0.3,0.324,0.309,0.33,0.345,0.321,0.343
Brooks,0.327,0.344,0.297,0.298,0.317,0.357,0.342,0.351,0.344,0.332,0.384,0.412,0.396,0.379,0.42,0.389
Bryan,0.149,0.137,0.123,0.137,0.136,0.14,0.156,0.129,0.15,0.156,0.167,0.191,0.16,0.145,0.168,0.162
Bulloch,0.21,0.237,0.233,0.24,0.244,0.244,0.265,0.245,0.237,0.248,0.317,0.308,0.312,0.298,0.348,0.313
Burke,0.392,0.296,0.29,0.311,0.317,0.381,0.35,0.345,0.445,0.388,0.47,0.434,0.459,0.46,0.424,0.379
Butts,0.154,0.179,0.168,0.174,0.179,0.183,0.192,0.179,0.218,0.233,0.235,0.294,0.303,0.296,0.31,0.269
Calhoun,0.392,0.347,0.296,0.311,0.315,0.363,0.391,0.363,0.377,0.373,0.41,0.416,0.4,0.426,0.447,0.424
Camden,0.118,0.131,0.128,0.145,0.151,0.151,0.151,0.151,0.169,0.202,0.213,0.204,0.214,0.227,0.18,0.204
Candler,0.37,0.331,0.294,0.314,0.308,0.347,0.361,0.324,0.348,0.364,0.382,0.403,0.412,0.432,0.436,0.433
Carroll,0.158,0.184,0.189,0.201,0.204,0.187,0.183,0.202,0.191,0.228,0.243,0.254,0.264,0.252,0.328,0.264
Catoosa,0.128,0.145,0.141,0.155,0.158,0.167,0.157,0.152,0.17,0.188,0.206,0.211,0.22,0.229,0.189,0.196
Charlton,0.293,0.238,0.236,0.262,0.27,0.315,0.296,0.283,0.292,0.334,0.321,0.349,0.353,0.363,0.34,0.377
Chatham,0.223,0.237,0.231,0.247,0.246,0.227,0.251,0.237,0.216,0.239,0.275,0.346,0.314,0.302,0.275,0.253
Chattahoochee,0.117,0.128,0.138,0.161,0.156,0.198,0.166,0.185,0.164,0.249,0.206,0.194,0.216,0.244,0.224,0.245
Chattooga,0.176,0.201,0.188,0.213,0.21,0.231,0.228,0.248,0.231,0.259,0.288,0.282,0.314,0.412,0.282,0.288
Cherokee,0.057,0.079,0.077,0.086,0.088,0.078,0.087,0.075,0.087,0.106,0.117,0.127,0.132,0.139,0.126,0.123
Clarke,0.249,0.232,0.217,0.231,0.24,0.276,0.279,0.284,0.262,0.343,0.356,0.377,0.316,0.384,0.39,0.416
Clay,0.44,0.411,0.385,0.396,0.39,0.499,0.47,0.494,0.504,0.484,0.583,0.54,0.529,0.557,0.564,0.52
Clayton,0.137,0.181,0.188,0.205,0.208,0.203,0.215,0.206,0.208,0.237,0.341,0.354,0.41,0.366,0.364,0.354
Clinch,0.275,0.304,0.273,0.282,0.279,0.344,0.309,0.323,0.333,0.343,0.349,0.388,0.393,0.398,0.406,0.396
Cobb,0.075,0.099,0.102,0.117,0.119,0.112,0.115,0.123,0.11,0.149,0.197,0.176,0.198,0.18,0.178,0.164
Coffee,0.241,0.288,0.273,0.267,0.266,0.295,0.285,0.3,0.282,0.336,0.393,0.401,0.371,0.381,0.385,0.34
Colquitt,0.261,0.294,0.279,0.289,0.286,0.331,0.326,0.312,0.298,0.319,0.353,0.383,0.382,0.371,0.399,0.355
Columbia,0.058,0.086,0.085,0.092,0.096,0.085,0.087,0.084,0.087,0.094,0.106,0.111,0.122,0.105,0.13,0.113
Cook,0.285,0.277,0.248,0.264,0.263,0.289,0.303,0.315,0.312,0.324,0.366,0.41,0.362,0.357,0.337,0.357
Coweta,0.1,0.11,0.116,0.129,0.133,0.121,0.149,0.131,0.134,0.148,0.169,0.204,0.19,0.194,0.172,0.164
Crawford,0.178,0.19,0.188,0.209,0.208,0.224,0.239,0.263,0.249,0.298,0.298,0.299,0.305,0.326,0.31,0.289
Crisp,0.419,0.358,0.323,0.342,0.355,0.437,0.448,0.403,0.439,0.446,0.474,0.459,0.519,0.489,0.459,0.474
Dade,0.076,0.16,0.161,0.163,0.156,0.162,0.165,0.168,0.174,0.225,0.223,0.242,0.216,0.218,0.215,0.218
Dawson,0.102,0.139,0.136,0.143,0.141,0.152,0.142,0.142,0.162,0.179,0.217,0.21,0.202,0.206,0.182,0.18
DeKalb,0.331,0.314,0.301,0.314,0.316,0.336,0.361,0.329,0.37,0.366,0.388,0.464,0.524,0.407,0.406,0.399
Decatur,0.145,0.179,0.174,0.19,0.215,0.228,0.218,0.213,0.254,0.245,0.265,0.288,0.332,0.301,0.33,0.277
Dodge,0.196,0.259,0.252,0.259,0.263,0.316,0.276,0.297,0.293,0.323,0.333,0.39,0.361,0.371,0.369,0.381
Dooly,0.296,0.316,0.301,0.3,0.296,0.295,0.342,0.353,0.342,0.384,0.349,0.402,0.403,0.411,0.395,0.454
Dougherty,0.363,0.317,0.306,0.319,0.331,0.333,0.375,0.35,0.359,0.419,0.492,0.402,0.466,0.445,0.474,0.421
Douglas,0.104,0.125,0.133,0.151,0.154,0.136,0.155,0.148,0.147,0.178,0.191,0.218,0.235,0.259,0.2,0.216
Early,0.373,0.334,0.343,0.357,0.353,0.419,0.385,0.419,0.383,0.466,0.403,0.395,0.51,0.433,0.406,0.416
Echols,0.344,0.286,0.222,0.271,0.269,0.361,0.334,0.364,0.367,0.364,0.406,0.4,0.439,0.45,0.371,0.393
Effingham,0.111,0.124,0.121,0.142,0.141,0.135,0.136,0.127,0.138,0.149,0.151,0.182,0.175,0.158,0.167,0.153
Elbert,0.236,0.215,0.21,0.242,0.237,0.256,0.313,0.243,0.265,0.289,0.378,0.34,0.315,0.34,0.319,0.353
Emanuel,0.374,0.364,0.335,0.331,0.332,0.379,0.37,0.402,0.371,0.379,0.431,0.415,0.421,0.496,0.45,0.402
Evans,0.369,0.313,0.281,0.298,0.297,0.338,0.329,0.324,0.343,0.381,0.374,0.413,0.433,0.442,0.385,0.418
Fannin,0.147,0.232,0.213,0.216,0.21,0.222,0.239,0.24,0.259,0.314,0.282,0.378,0.346,0.348,0.323,0.298
Fayette,0.03,0.05,0.054,0.069,0.072,0.054,0.062,0.059,0.065,0.076,0.1,0.115,0.105,0.099,0.097,0.1
Floyd,0.2,0.213,0.203,0.207,0.214,0.265,0.239,0.233,0.253,0.269,0.263,0.298,0.317,0.303,0.292,0.287
Forsyth,0.058,0.065,0.058,0.068,0.068,0.061,0.063,0.061,0.064,0.077,0.089,0.098,0.076,0.089,0.08,0.069
Franklin,0.17,0.211,0.199,0.217,0.215,0.205,0.242,0.23,0.264,0.268,0.29,0.339,0.306,0.314,0.311,0.313
Fulton,0.23,0.211,0.214,0.231,0.229,0.246,0.234,0.208,0.197,0.236,0.239,0.27,0.259,0.256,0.252,0.238
Gilmer,0.132,0.225,0.201,0.202,0.192,0.211,0.235,0.219,0.259,0.305,0.288,0.43,0.327,0.399,0.33,0.306
Glascock,0.118,0.212,0.17,0.182,0.178,0.193,0.218,0.185,0.19,0.231,0.235,0.235,0.257,0.242,0.246,0.244
Glynn,0.234,0.233,0.219,0.237,0.241,0.243,0.272,0.219,0.264,0.265,0.302,0.311,0.314,0.31,0.3,0.3
Gordon,0.124,0.18,0.174,0.187,0.178,0.183,0.181,0.199,0.185,0.245,0.263,0.283,0.26,0.257,0.26,0.264
Grady,0.305,0.29,0.267,0.287,0.28,0.295,0.314,0.311,0.329,0.319,0.383,0.376,0.378,0.395,0.38,0.411
Greene,0.34,0.292,0.28,0.287,0.291,0.333,0.344,0.345,0.316,0.331,0.417,0.431,0.407,0.412,0.393,0.379
Gwinnett,0.063,0.091,0.093,0.115,0.122,0.099,0.12,0.115,0.135,0.18,0.192,0.215,0.207,0.2,0.199,0.179
Habersham,0.148,0.174,0.157,0.17,0.165,0.158,0.19,0.209,0.196,0.268,0.256,0.276,0.252,0.304,0.223,0.235
Hall,0.159,0.168,0.153,0.169,0.168,0.152,0.182,0.167,0.197,0.22,0.252,0.255,0.291,0.301,0.249,0.243
Hancock,0.454,0.339,0.294,0.311,0.319,0.349,0.377,0.348,0.398,0.369,0.42,0.429,0.486,0.488,0.439,0.437
Haralson,0.191,0.217,0.21,0.216,0.219,0.233,0.253,0.235,0.265,0.249,0.287,0.288,0.319,0.308,0.276,0.27
Harris,0.098,0.133,0.119,0.111,0.124,0.125,0.127,0.116,0.12,0.126,0.132,0.157,0.159,0.15,0.144,0.136
Hart,0.198,0.192,0.188,0.208,0.207,0.232,0.277,0.239,0.232,0.265,0.301,0.295,0.327,0.315,0.303,0.287
Heard,0.145,0.205,0.205,0.214,0.216,0.234,0.236,0.235,0.245,0.284,0.312,0.393,0.324,0.309,0.275,0.307
Henry,0.057,0.08,0.088,0.098,0.102,0.092,0.118,0.098,0.117,0.123,0.139,0.205,0.208,0.167,0.19,0.158
Houston,0.147,0.146,0.149,0.167,0.17,0.183,0.178,0.164,0.163,0.198,0.212,0.214,0.253,0.219,0.236,0.226
Irwin,0.241,0.274,0.27,0.27,0.266,0.296,0.285,0.291,0.325,0.351,0.351,0.345,0.362,0.35,0.353,0.371
Jackson,0.135,0.17,0.159,0.175,0.167,0.171,0.207,0.162,0.151,0.197,0.213,0.213,0.209,0.186,0.185,0.178
Jasper,0.195,0.203,0.199,0.214,0.212,0.231,0.232,0.247,0.237,0.265,0.303,0.309,0.323,0.313,0.292,0.289
Jeff Davis,0.219,0.263,0.251,0.257,0.247,0.269,0.286,0.289,0.295,0.329,0.347,0.359,0.365,0.369,0.389,0.341
Jefferson,0.293,0.306,0.28,0.295,0.289,0.382,0.306,0.32,0.329,0.373,0.44,0.423,0.422,0.395,0.375,0.397
Jenkins,0.4,0.324,0.303,0.321,0.33,0.392,0.355,0.377,0.393,0.449,0.457,0.537,0.482,0.489,0.45,0.473
Johnson,0.298,0.336,0.31,0.336,0.337,0.402,0.384,0.393,0.321,0.359,0.36,0.373,0.375,0.391,0.369,0.371
Jones,0.126,0.148,0.14,0.151,0.153,0.155,0.158,0.155,0.161,0.17,0.181,0.218,0.202,0.23,0.205,0.207
Lamar,0.149,0.206,0.213,0.215,0.21,0.239,0.23,0.224,0.223,0.267,0.268,0.287,0.288,0.294,0.307,0.293
Lanier,0.236,0.294,0.281,0.283,0.274,0.306,0.333,0.296,0.318,0.327,0.337,0.363,0.372,0.375,0.371,0.359
Laurens,0.266,0.261,0.25,0.262,0.266,0.268,0.308,0.306,0.31,0.334,0.289,0.358,0.41,0.383,0.368,0.36
Lee,0.11,0.119,0.113,0.124,0.127,0.125,0.127,0.128,0.127,0.135,0.148,0.18,0.168,0.161,0.174,0.161
Liberty,0.193,0.235,0.202,0.184,0.2,0.242,0.195,0.246,0.2,0.206,0.309,0.221,0.279,0.281,0.278,0.273
Lincoln,0.196,0.22,0.197,0.227,0.231,0.251,0.286,0.254,0.271,0.298,0.32,0.331,0.313,0.32,0.296,0.319
Long,0.265,0.269,0.247,0.283,0.257,0.314,0.305,0.315,0.331,0.352,0.296,0.341,0.319,0.306,0.313,0.277
Lowndes,0.232,0.238,0.227,0.241,0.243,0.242,0.251,0.296,0.241,0.284,0.304,0.334,0.323,0.305,0.329,0.324
Lumpkin,0.139,0.182,0.173,0.188,0.181,0.191,0.205,0.189,0.203,0.229,0.245,0.266,0.261,0.27,0.232,0.224
Macon,0.392,0.304,0.284,0.309,0.324,0.403,0.391,0.372,0.352,0.365,0.401,0.366,0.449,0.437,0.408,0.436
Madison,0.141,0.176,0.176,0.187,0.191,0.189,0.214,0.187,0.213,0.252,0.253,0.289,0.266,0.27,0.294,0.23
Marion,0.313,0.257,0.249,0.295,0.303,0.358,0.331,0.323,0.364,0.373,0.367,0.373,0.373,0.388,0.395,0.401
McDuffie,0.26,0.26,0.249,0.268,0.267,0.304,0.296,0.278,0.273,0.292,0.315,0.363,0.375,0.374,0.421,0.405
McIntosh,0.249,0.293,0.269,0.273,0.271,0.315,0.303,0.295,0.311,0.321,0.328,0.355,0.36,0.365,0.361,0.393
Meriwether,0.262,0.249,0.245,0.265,0.27,0.3,0.286,0.333,0.289,0.322,0.312,0.355,0.363,0.426,0.339,0.337
Miller,0.287,0.267,0.264,0.277,0.269,0.315,0.314,0.318,0.409,0.343,0.371,0.374,0.374,0.395,0.372,0.378
Mitchell,0.388,0.297,0.282,0.31,0.315,0.358,0.324,0.341,0.342,0.345,0.407,0.394,0.395,0.422,0.392,0.381
Monroe,0.12,0.17,0.165,0.173,0.167,0.163,0.181,0.159,0.185,0.186,0.216,0.222,0.207,0.213,0.209,0.195
Montgomery,0.252,0.28,0.258,0.258,0.261,0.303,0.288,0.28,0.304,0.337,0.328,0.353,0.457,0.358,0.313,0.322
Morgan,0.145,0.167,0.162,0.18,0.182,0.187,0.176,0.179,0.198,0.235,0.243,0.254,0.235,0.249,0.241,0.228
Murray,0.163,0.186,0.173,0.188,0.187,0.198,0.203,0.211,0.199,0.276,0.273,0.293,0.291,0.298,0.273,0.267
Muscogee,0.224,0.238,0.244,0.246,0.244,0.287,0.262,0.276,0.262,0.263,0.296,0.301,0.281,0.34,0.317,0.311
Newton,0.153,0.157,0.161,0.172,0.175,0.172,0.171,0.16,0.178,0.199,0.208,0.263,0.232,0.241,0.289,0.233
Oconee,0.078,0.08,0.08,0.092,0.091,0.083,0.08,0.08,0.082,0.102,0.109,0.116,0.106,0.109,0.103,0.086
Oglethorpe,0.161,0.159,0.164,0.176,0.181,0.197,0.199,0.189,0.197,0.217,0.242,0.246,0.246,0.253,0.248,0.252
Paulding,0.06,0.085,0.083,0.092,0.095,0.089,0.103,0.091,0.094,0.104,0.122,0.164,0.155,0.149,0.156,0.127
Peach,0.246,0.266,0.261,0.27,0.278,0.278,0.319,0.297,0.281,0.328,0.356,0.33,0.35,0.322,0.325,0.334
Pickens,0.137,0.172,0.164,0.176,0.175,0.187,0.188,0.181,0.204,0.219,0.224,0.265,0.255,0.256,0.223,0.222
Pierce,0.261,0.282,0.243,0.254,0.257,0.301,0.28,0.276,0.278,0.301,0.293,0.324,0.309,0.313,0.278,0.311
Pike,0.117,0.152,0.141,0.154,0.151,0.148,0.147,0.157,0.146,0.176,0.183,0.196,0.18,0.194,0.182,0.169
Polk,0.193,0.218,0.198,0.211,0.213,0.238,0.229,0.244,0.234,0.3,0.313,0.327,0.3,0.33,0.306,0.323
Pulaski,0.193,0.227,0.222,0.229,0.226,0.243,0.255,0.253,0.251,0.281,0.284,0.31,0.334,0.337,0.327,0.345
Putnam,0.215,0.228,0.203,0.213,0.223,0.252,0.241,0.249,0.272,0.302,0.33,0.334,0.362,0.353,0.338,0.331
Quitman,0.265,0.319,0.319,0.307,0.309,0.355,0.332,0.334,0.363,0.383,0.444,0.44,0.429,0.466,0.484,0.479
Rabun,0.138,0.198,0.184,0.189,0.188,0.199,0.217,0.22,0.257,0.271,0.309,0.33,0.325,0.322,0.331,0.281
Randolph,0.363,0.359,0.321,0.339,0.335,0.395,0.387,0.355,0.39,0.357,0.394,0.434,0.437,0.451,0.514,0.441
Richmond,0.276,0.28,0.276,0.276,0.293,0.345,0.298,0.343,0.368,0.337,0.391,0.358,0.446,0.436,0.379,0.377
Rockdale,0.108,0.131,0.136,0.162,0.17,0.159,0.165,0.165,0.19,0.201,0.246,0.245,0.274,0.242,0.274,0.26
Schley,0.261,0.231,0.206,0.214,0.22,0.25,0.25,0.235,0.243,0.238,0.248,0.264,0.285,0.286,0.27,0.29
Screven,0.224,0.276,0.252,0.266,0.271,0.291,0.304,0.295,0.298,0.334,0.335,0.39,0.382,0.405,0.402,0.4
Seminole,0.365,0.362,0.334,0.337,0.328,0.38,0.378,0.357,0.377,0.429,0.407,0.446,0.404,0.434,0.427,0.427
Spalding,0.217,0.227,0.23,0.249,0.252,0.255,0.275,0.272,0.267,0.301,0.351,0.346,0.374,0.349,0.414,0.355
Stephens,0.18,0.215,0.217,0.232,0.224,0.233,0.243,0.247,0.243,0.286,0.342,0.335,0.328,0.311,0.303,0.31
Stewart,0.305,0.323,0.312,0.32,0.342,0.408,0.413,0.409,0.402,0.408,0.461,0.449,0.485,0.44,0.447,0.484
Sumter,0.324,0.288,0.287,0.306,0.318,0.423,0.33,0.355,0.408,0.401,0.43,0.413,0.461,0.54,0.476,0.481
Talbot,0.394,0.29,0.264,0.279,0.287,0.31,0.335,0.35,0.325,0.353,0.358,0.368,0.4,0.407,0.372,0.418
Taliaferro,0.31,0.342,0.307,0.326,0.326,0.396,0.365,0.381,0.388,0.445,0.489,0.503,0.449,0.454,0.49,0.544
Tattnall,0.336,0.305,0.276,0.287,0.281,0.327,0.302,0.326,0.318,0.328,0.356,0.435,0.353,0.376,0.378,0.361
