Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Appling,11.48,5.74,5.73,5.71,5.64,0.00,5.65,0.00,5.59,11.08,0.00,16.45,16.26,16.32,5.45,16.25,16.27,16.28
Atkinson,13.14,0.00,0.00,0.00,0.00,0.00,12.54,0.00,0.00,0.00,12.15,11.94,11.96,48.46,12.11,12.19,0.00,12.09
Bacon,0.00,0.00,9.90,19.98,19.82,0.00,0.00,9.67,37.86,18.99,0.00,18.02,17.87,0.00,26.79,17.84,0.00,0.00
Baker,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.65,0.00
Baldwin,0.00,2.24,2.24,6.66,2.22,11.00,8.75,6.56,2.15,10.65,17.26,2.19,4.43,2.15,10.84,10.91,4.40,0.00
Banks,0.00,20.80,0.00,6.61,19.57,6.41,6.28,6.20,18.24,18.00,17.86,5.44,32.72,27.42,0.00,10.94,16.24,21.74
Barrow,4.33,10.84,10.32,3.92,15.07,8.90,8.42,14.21,13.40,17.08,12.47,18.74,11.45,14.25,11.22,19.18,11.98,16.86
Bartow,2.63,13.15,15.09,15.81,4.74,16.25,7.94,9.96,8.63,16.84,10.39,22.96,16.95,16.92,12.85,18.69,18.53,20.23
Ben Hill,5.72,5.72,0.00,0.00,11.72,0.00,0.00,0.00,5.64,0.00,0.00,5.67,0.00,5.69,17.22,5.73,5.76,5.80
Berrien,0.00,6.16,0.00,0.00,0.00,0.00,6.02,17.97,5.99,5.87,5.87,10.37,0.00,10.44,21.03,0.00,0.00,5.27
Bibb,7.80,5.85,10.41,12.99,9.10,9.72,16.21,5.17,10.98,10.32,10.25,7.71,11.55,6.40,9.70,9.10,9.77,9.16
Bleckley,8.57,0.00,8.49,34.24,25.47,0.00,24.92,0.00,0.00,7.83,0.00,0.00,0.00,7.75,15.67,7.84,23.47,7.71
Brantley,0.00,0.00,13.49,6.64,6.60,26.27,26.19,13.02,25.92,6.45,38.36,16.29,37.70,16.18,10.94,16.31,27.10,38.14
Brooks,0.00,0.00,0.00,0.00,6.22,0.00,6.21,0.00,6.12,6.07,0.00,6.16,12.50,0.00,6.38,6.44,6.37,6.37
Bryan,0.00,4.27,0.00,12.07,7.74,3.70,0.00,0.00,3.32,9.58,9.21,3.31,0.00,3.10,6.04,2.95,11.41,0.00
Bulloch,1.79,0.00,7.02,3.47,10.05,0.00,4.72,7.71,4.52,5.90,4.33,12.82,4.13,8.20,11.13,2.75,5.46,6.69
Burke,13.49,4.50,4.42,8.82,4.41,4.38,0.00,8.80,13.14,13.13,4.39,8.58,4.24,4.32,13.09,4.40,13.19,17.63
Butts,5.12,5.12,4.91,0.00,9.17,4.54,17.81,0.00,25.38,20.50,12.30,16.91,12.73,29.88,8.61,17.11,25.48,16.79
Calhoun,0.00,0.00,0.00,15.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.41,0.00,0.00,15.47,15.81
Camden,0.00,0.00,0.00,10.96,8.99,0.00,13.10,2.19,8.45,2.08,16.57,5.94,19.87,11.67,7.77,7.69,17.13,13.21
Candler,0.00,0.00,21.19,0.00,20.22,30.10,0.00,19.52,9.59,0.00,9.36,0.00,0.00,0.00,0.00,27.55,18.29,9.17
Carroll,4.58,3.44,12.01,12.65,11.17,17.77,13.40,16.63,21.44,26.37,25.27,19.90,23.49,14.36,13.35,17.54,17.44,24.08
Catoosa,3.75,1.88,7.31,3.57,15.63,22.10,3.35,3.28,1.60,26.89,14.05,18.77,15.42,26.15,13.77,22.87,16.69,39.16
Charlton,0.00,9.73,0.00,9.53,0.00,9.49,9.45,9.29,0.00,0.00,0.00,0.00,0.00,7.50,30.57,0.00,23.06,8.00
Chatham,5.17,3.88,8.56,6.36,4.23,10.46,5.42,7.38,10.06,7.96,8.95,10.18,7.72,10.13,11.15,8.49,10.12,12.11
Chattahoochee,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.86,7.19,0.00,6.94,0.00,8.84,7.92,8.04,16.73,0.00,0.00
Chattooga,0.00,15.70,11.62,19.29,15.22,3.86,7.71,11.46,14.89,26.08,18.78,19.22,11.68,27.31,11.98,12.07,16.08,28.20
Cherokee,5.64,7.05,2.64,7.55,8.44,7.48,8.20,8.75,11.28,8.57,11.16,11.66,11.02,10.87,14.70,18.22,22.92,20.27
Clarke,3.94,2.96,3.87,2.88,7.56,8.24,6.42,5.38,5.29,6.95,7.74,3.43,13.51,9.99,9.09,11.61,9.71,13.63
Clay,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.44,0.00,32.12,0.00,0.00,0.00,32.93,0.00,0.00,33.11
Clayton,4.65,5.92,8.49,9.90,7.75,9.53,7.93,7.44,6.60,6.52,8.70,9.64,7.99,10.90,9.07,8.60,10.60,9.30
Clinch,14.54,14.54,14.58,0.00,0.00,14.34,0.00,0.00,14.36,14.11,0.00,0.00,14.82,0.00,0.00,0.00,0.00,14.64
Cobb,4.77,5.43,6.06,5.02,6.52,7.05,5.90,8.39,6.36,8.65,10.63,8.87,10.47,12.29,14.09,16.73,14.05,16.57
Coffee,2.67,5.35,7.85,7.79,5.16,5.15,7.66,2.51,12.39,9.82,12.23,16.53,23.27,9.27,9.28,16.32,13.93,16.27
Colquitt,0.00,4.76,11.82,4.68,7.01,0.00,9.23,4.54,2.24,13.21,8.77,8.79,15.27,6.50,17.28,8.68,6.56,2.19
Columbia,2.24,3.36,8.74,1.06,3.11,3.01,10.76,9.47,5.51,6.34,8.85,11.29,7.77,10.56,8.08,13.64,13.19,14.92
