City,Counties
Abbeville,Wilcox
Acworth,Cobb
Adairsville,Bartow 
Adel,Cook
Adrian,Emanuel
Ailey,Montgomery
Alamo,Wheeler
Alapaha,Berrien
Albany,Dougherty
Aldora,Lamar
Allenhurst,Liberty
Allentown,Wilkinson
Alma,Bacon
Alpharetta,Fulton
Alston,Montgomery
Alto,Habersham
Ambrose,Coffee
Americus,Sumter
Andersonville,Sumter
Arabi,Crisp
Aragon,Polk
Arcade,Jackson
Argyle,Clinch
Arlington,Calhoun
Ashburn,Turner
Athens,Athens-Clarke
Atlanta,Fulton
Attapulgus,Decatur
Auburn,Barrow
Augusta,Augusta-Richmond
Austell,Cobb
Avera,Jefferson
Avondale Estates,DeKalb
Baconton,Mitchell
Bainbridge,Decatur
Baldwin,Habersham
Ball Ground,Cherokee
Barnesville,Lamar
Bartow,Jefferson
Barwick,Thomas
Baxley,Appling
Berkeley Lake,Gwinnett
Berlin,Colquitt
Bethlehem,Barrow
Bishop,Oconee
Blackshear,Pierce
Blairsville,Union
Blakely,Early
Bloomingdale,Chatham
Blue Ridge,Fannin
Bluffton,Clay
Blythe,Augusta-Richmond
Bogart,Oconee
Boston,Thomas
Bostwick,Morgan
Bowdon,Carroll
Bowersville,Hart
Bowman,Elbert
Braselton,Jackson
Braswell,Paulding
Bremen,Haralson
Brinson,Decatur
Bronwood,Terrell
Brookhaven,DeKalb
Brooklet,Bulloch
Brooks,Fayette
Broxton,Coffee
Brunswick,Glynn
Buchanan,Haralson
Buckhead,Morgan
Buena Vista,Marion
Buford,Gwinnett
Butler,Taylor
Byromville,Dooly
Byron,Peach
Cadwell,Laurens
Cairo,Grady
Calhoun,Gordon
Camak,Warren
Camilla,Mitchell
Canon,Franklin
Canton,Cherokee
Carl,Barrow
Carlton,Madison
Carnesville,Franklin
Carrollton,Carroll
Cartersville,Bartow
Cave Spring,Floyd
Cecil,Cook
Cedartown,Polk
Centerville,Houston
Centralhatchee,Heard
Chamblee,DeKalb
Chatsworth,Murray
Chattahoochee Hills,Fulton
Chauncey,Dodge
Chester,Dodge
Chickamauga,Walker
Clarkesville,Habersham
Clarkston,DeKalb
Claxton,Evans
Clayton,Rabun
Clermont,Hall
Cleveland,White
Climax,Decatur
Cobbtown,Tattnall
Cochran,Bleckley
Cohutta,Whitfield
Colbert,Madison
College Park,Fulton
Collins,Tattnall
Colquitt,Miller
Columbus,Columbus-Muscogee
Comer,Madison
Commerce,Jackson
Concord,Pike
Conyers,Rockdale
Coolidge,Thomas
Cordele,Crisp
Cornelia,Habersham
Covington,Newton
Crawford,Oglethorpe
Crawfordville,Taliaferro
Culloden,Monroe
Cumming,Forsyth
Cusseta,Cusseta-Chattahoochee
Cuthbert,Randolph
Dacula,Gwinnett
Dahlonega,Lumpkin
Dallas,Paulding
Dalton,Whitfield
Damascus,Early
Danielsville,Madison
Danville,Twiggs
Darien,McIntosh
Dasher,Lowndes
Davisboro,Washington
Dawson,Terrell
Dawsonville,Dawson
De Soto,Sumter
Dearing,McDuffie
Decatur,DeKalb
Deepstep,Washington
Demorest,Habersham
Dexter,Laurens
Dillard,Rabun
Doerun,Colquitt
Donalsonville,Seminole
Dooling,Dooly
Doraville,DeKalb
Douglas,Coffee
Douglasville,Douglas
Du Pont,Clinch
Dublin,Laurens
Dudley,Laurens
Duluth,Gwinnett
Dunwoody,DeKalb
East Dublin,Laurens
East Ellijay,Gilmer
East Point,Fulton
Eastman,Dodge
Eatonton,Putnam
Edge Hill,Glascock
Edison,Calhoun
Elberton,Elbert
Ellaville,Schley
Ellenton,Colquitt
Ellijay,Gilmer
Emerson,Bartow
Enigma,Berrien
Ephesus,Heard
Eton,Murray
Euharlee,Bartow
Fairburn,Fulton
Fairmount,Gordon
Fargo,Clinch
Fayetteville,Fayette
Fitzgerald,Ben Hill
Flemington,Liberty
Flovilla,Butts
Flowery Branch,Hall
Folkston,Charlton
Forest Park,Clayton
Forsyth,Monroe
Fort Gaines,Clay
Fort Oglethorpe,Catoosa
Fort Valley,Peach
Franklin,Heard
Franklin Springs,Franklin
Funston,Colquitt
Gainesville,Hall
Garden City,Chatham
Garfield,Emanuel
Gay,Meriwether
Geneva,Talbot
Georgetown,Georgetown-Quitman
Gibson,Glascock
Gillsville,Banks
Girard,Burke
Glennville,Tattnall
Glenwood,Wheeler
Good Hope,Walton
Gordon,Wilkinson
Graham,Appling
Grantville,Coweta
Gray,Jones
Grayson,Gwinnett
Greensboro,Greene
Greenville,Meriwether
Griffin,Spalding
Grovetown,Columbia
Gumbranch,Liberty
Guyton,Effingham
Hagan,Evans
Hahira,Lowndes
Hamilton,Harris
Hampton,Henry
Hapeville,Fulton
Haralson,Coweta
Harlem,Columbia
Harrison,Washington
Hartwell,Hart
Hawkinsville,Pulaski
Hazlehurst,Jeff Davis
Helen,White
Hephzibah,Augusta-Richmond
Hiawassee,Towns
Higgston,Montgomery
Hiltonia,Screven
Hinesville,Liberty
Hiram,Paulding
Hoboken,Brantley
Hogansville,Troup
Holly Springs,Cherokee
Homeland,Charlton
Homer,Banks
Homerville,Clinch
Hoschton,Jackson
Hull,Madison
Ideal,Macon
Ila,Madison
Iron City,Seminole
Irwinton,Wilkinson
Ivey,Wilkinson
Jackson,Butts
Jacksonville,Telfair
Jakin,Early
Jasper,Pickens
Jefferson,Jackson
Jeffersonville,Twiggs
Jenkinsburg,Butts
Jersey,Walton
Jesup,Wayne
Johns Creek,Fulton
Jonesboro,Clayton
Junction City,Talbot
Kennesaw,Cobb
Keysville,Burke
Kingsland,Camden
Kingston,Bartow
Kite,Johnson
LaFayette,Walker
LaGrange,Troup
Lake City,Clayton
Lake Park,Lowndes
Lakeland,Lanier
Lavonia,Franklin
Lawrenceville,Gwinnett
Leary,Calhoun
Leesburg,Lee
Lenox,Cook
Leslie,Sumter
Lexington,Oglethorpe
Lilburn,Gwinnett
Lilly,Dooly
Lincolnton,Lincoln
Lithonia,DeKalb
Locust Grove,Henry
Loganville,Gwinnett
Lone Oak,Meriwether
Lookout Mountain,Walker
Louisville,Jefferson
Lovejoy,Clayton
Ludowici,Long
Lula,Hall
Lumber City,Telfair
Lumpkin,Stewart
Luthersville,Meriwether
Lyerly,Chattooga
Lyons,Toombs
Macon,Bibb
Madison,Morgan
Manassas,Tattnall
Manchester,Meriwether
Mansfield,Newton
Marietta,Cobb
Marshallville,Macon
Martin,Stephens
Maxeys,Oglethorpe
Maysville,Banks
McCaysville,Fannin
McDonough,Henry
McIntyre,Wilkinson
McRae-Helena,Telfair
Meansville,Pike
Meigs,Thomas
Menlo,Chattooga
Metter,Candler
Midville,Burke
Midway,Liberty
Milan,Telfair
Milledgeville,Baldwin
Millen,Jenkins
Milner,Lamar
Milton,Fulton
Mitchell,Glascock
Molena,Pike
Monroe,Walton
Montezuma,Macon
Monticello,Jasper
Montrose,Laurens
Moreland,Coweta
Morgan,Calhoun
Morganton,Fannin
Morrow,Clayton
Morven,Brooks
Moultrie,Colquitt
Mount Airy,Habersham
Mount Vernon,Montgomery
Mount Zion,Carroll
Mountain City,Rabun
Mountain Park,Fulton
Nahunta,Brantley
Nashville,Berrien
Nelson,Pickens
Newborn,Newton
Newington,Screven
Newnan,Coweta
Newton,Baker
Nicholls,Coffee
Nicholson,Jackson
Norcross,Gwinnett
Norman Park,Colquitt
North High Shoals,Oconee
Norwood,Warren
Oak Park,Emanuel
Oakwood,Hall
Ochlocknee,Thomas
Ocilla,Irwin
Oconee,Washington
Odum,Wayne
Offerman,Pierce
Oglethorpe,Macon
Oliver,Screven
Omega,Tift
Orchard Hill,Spalding
Oxford,Newton
Palmetto,Fulton
Parrott,Terrell
Patterson,Pierce
Pavo,Brooks
Payne City,Bibb
Peachtree City,Fayette
Peachtree Corners,Gwinnett
Pearson,Atkinson
Pelham,Mitchell
Pembroke,Bryan
Pendergrass,Jackson
Perry,Houston
Pine Lake,DeKalb
Pine Mountain,Harris
Pinehurst,Dooly
Pineview,Wilcox
Pitts,Wilcox
Plains,Sumter
Plainville,Gordon
Pooler,Chatham
Port Wentworth,Chatham
Portal,Bulloch
Porterdale,Newton
Poulan,Worth
Powder Springs,Cobb
Preston,Webster
Pulaski,Candler
Quitman,Brooks
Ranger,Gordon
Ray City,Berrien
Rayle,Wilkes
Rebecca,Turner
Register,Bulloch
Reidsville,Tattnall
Remerton,Lowndes
Rentz,Laurens
Resaca,Gordon
