,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
0,Appling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Atkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Bacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Banks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1
5,Ben Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Berrien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Bleckley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Brantley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Bryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Burke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,Butts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Candler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Charlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Chattahoochee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Chattooga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Clinch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Crisp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Dade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Dooly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,1
28,Early,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Echols,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Elbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,Emanuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,Fannin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Gilmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Glascock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,Grady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Haralson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,1 ,1
41,Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1
42,Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Heard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,1
46,Jeff Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,Lamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,Lanier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Lumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,McDuffie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,McIntosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,Meriwether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Oconee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Oglethorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,Pickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,Quitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Rabun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,Schley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Screven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,Seminole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,Stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Sumter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,Talbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,Taliaferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Tattnall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,Telfair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Terrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Toombs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,Towns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1
