,County,Rural,Count
0,Appling,1,0.0
1,Atkinson,1,0.0
2,Bacon,1,0.0
3,Baker,1,0.0
4,Baldwin,0,2.0
5,Banks,1,0.0
6,Barrow,0,1.0
7,Bartow,0,1.0
8,Ben Hill,1,1.0
9,Berrien,1,1.0
10,Bibb,0,7.0
11,Bleckley,1,1.0
12,Brantley,1,0.0
13,Brooks,1,1.0
14,Bryan,1,0.0
15,Bulloch,0,2.0
16,Burke,1,0.0
17,Butts,1,1.0
18,Calhoun,1,0.0
19,Camden,0,1.0
20,Candler,1,1.0
21,Carroll,0,3.0
22,Catoosa,0,1.0
23,Charlton,1,0.0
24,Chatham,0,7.0
25,Chattahoochee,1,0.0
26,Chattooga,1,0.0
27,Cherokee,0,1.0
28,Clarke,0,3.0
29,Clay,1,0.0
30,Clayton,0,5.0
31,Clinch,1,1.0
32,Cobb,0,4.0
33,Coffee,0,1.0
34,Colquitt,0,2.0
35,Columbia,0,0.0
36,Cook,1,1.0
37,Coweta,0,1.0
38,Crawford,1,0.0
39,Crisp,1,1.0
40,Dade,1,1.0
41,Dawson,1,0.0
42,DeKalb,0,9.0
43,Decatur,1,1.0
44,Dodge,1,1.0
45,Dooly,1,0.0
46,Dougherty,0,2.0
47,Douglas,0,2.0
48,Early,1,1.0
49,Echols,1,0.0
50,Effingham,0,1.0
51,Elbert,1,1.0
52,Emanuel,1,1.0
53,Evans,1,1.0
54,Fannin,1,1.0
55,Fayette,0,1.0
56,Floyd,0,3.0
57,Forsyth,0,1.0
58,Franklin,1,2.0
59,Fulton,0,15.0
60,Gilmer,1,0.0
61,Glascock,1,0.0
62,Glynn,0,2.0
63,Gordon,0,1.0
64,Grady,1,1.0
65,Greene,1,1.0
66,Gwinnett,0,4.0
67,Habersham,0,1.0
68,Hall,0,3.0
69,Hancock,1,0.0
70,Haralson,1,1.0
71,Harris,1,0.0
72,Hart,1,0.0
73,Heard,1,0.0
74,Henry,0,2.0
75,Houston,0,2.0
76,Irwin,1,1.0
77,Jackson,0,1.0
78,Jasper,1,1.0
79,Jeff Davis,1,1.0
80,Jefferson,1,1.0
81,Jenkins,1,1.0
82,Johnson,1,0.0
83,Jones,1,0.0
84,Lamar,1,0.0
85,Lanier,1,1.0
86,Laurens,0,2.0
87,Lee,1,0.0
88,Liberty,0,2.0
89,Lincoln,1,0.0
90,Long,1,0.0
91,Lowndes,0,2.0
92,Lumpkin,1,1.0
93,Macon,1,1.0
94,Madison,1,0.0
95,Marion,1,0.0
96,McDuffie,1,1.0
97,McIntosh,1,0.0
98,Meriwether,1,2.0
99,Miller,1,1.0
100,Mitchell,1,1.0
101,Monroe,1,1.0
102,Montgomery,1,0.0
103,Morgan,1,1.0
104,Murray,0,1.0
105,Muscogee,0,8.0
106,Newton,0,1.0
107,Oconee,1,0.0
108,Oglethorpe,1,0.0
109,Paulding,0,1.0
110,Peach,1,1.0
111,Pickens,1,1.0
112,Pierce,1,0.0
113,Pike,1,0.0
114,Polk,0,1.0
115,Pulaski,1,1.0
116,Putnam,1,1.0
117,Quitman,1,0.0
118,Rabun,1,1.0
119,Randolph,1,1.0
120,Richmond,0,10.0
121,Rockdale,0,1.0
122,Schley,1,0.0
123,Screven,1,1.0
124,Seminole,1,1.0
125,Spalding,0,1.0
126,Stephens,1,1.0
127,Stewart,1,0.0
128,Sumter,1,1.0
129,Talbot,1,0.0
130,Taliaferro,1,0.0
131,Tattnall,1,1.0
132,Taylor,1,0.0
133,Telfair,1,0.0
134,Terrell,1,0.0
135,Thomas,0,2.0
136,Tift,0,1.0
137,Toombs,1,1.0
138,Towns,1,1.0
139,Treutlen,1,0.0
140,Troup,0,1.0
141,Turner,1,0.0
142,Twiggs,1,0.0
143,Union,1,1.0
144,Upson,1,1.0
145,Walker,0,0.0
146,Walton,0,1.0
147,Ware,0,1.0
148,Warren,1,0.0
149,Washington,1,1.0
150,Wayne,1,1.0
151,Webster,1,0.0
152,Wheeler,1,0.0
153,White,1,0.0
154,Whitfield,0,1.0
155,Wilcox,1,0.0
156,Wilkes,1,1.0
157,Wilkinson,1,0.0
158,Worth,1,1.0
