,County,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
0,Appling,2,1,1,1,1,0,1,0,1,2,0,3,3,3,1,3,3,3,29,1
1,Atkinson,1,0,0,0,0,0,1,0,0,0,1,1,1,4,1,1,0,1,12,1
2,Bacon,0,0,1,2,2,0,0,1,4,2,0,2,2,0,3,2,0,0,21,1
3,Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,Banks,0,3,0,1,3,1,1,1,3,3,3,1,6,5,0,2,3,4,40,1
5,Ben Hill,1,1,0,0,2,0,0,0,1,0,0,1,0,1,3,1,1,1,13,1
6,Berrien,0,1,0,0,0,0,1,3,1,1,1,2,0,2,4,0,0,1,17,1
7,Bleckley,1,0,1,4,3,0,3,0,0,1,0,0,0,1,2,1,3,1,21,1
8,Brantley,0,0,2,1,1,4,4,2,4,1,6,3,7,3,2,3,5,7,55,1
9,Brooks,0,0,0,0,1,0,1,0,1,1,0,1,2,0,1,1,1,1,11,1
10,Bryan,0,1,0,3,2,1,0,0,1,3,3,1,0,1,2,1,4,0,23,1
11,Burke,3,1,1,2,1,1,0,2,3,3,1,2,1,1,3,1,3,4,33,1
12,Butts,1,1,1,0,2,1,4,0,6,5,3,4,3,7,2,4,6,4,54,1
13,Calhoun,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1
14,Candler,0,0,2,0,2,3,0,2,1,0,1,0,0,0,0,3,2,1,17,1
15,Charlton,0,1,0,1,0,1,1,1,0,0,0,0,0,1,4,0,3,1,14,1
16,Chattahoochee,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,2,0,0,9,1
17,Chattooga,0,4,3,5,4,1,2,3,4,7,5,5,3,7,3,3,4,7,70,1
18,Clay,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,1
19,Clinch,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,8,1
20,Cook,0,0,1,0,0,2,4,0,0,3,3,1,1,2,3,2,4,0,26,1
21,Crawford,0,1,1,0,1,2,1,2,2,1,1,3,6,2,1,1,0,3,28,1
22,Crisp,1,2,0,0,2,1,0,2,3,3,0,2,1,3,1,2,0,1,24,1
23,Dade,0,0,2,0,0,1,2,1,0,4,0,3,2,3,0,2,1,0,21,1
24,Dawson,0,0,0,1,0,2,1,5,3,2,3,4,2,6,3,4,7,5,48,1
25,Decatur,0,0,0,0,0,2,1,1,2,2,2,1,0,0,4,2,3,3,23,1
26,Dodge,0,1,2,0,2,3,3,2,5,5,3,2,2,4,1,0,4,4,43,1
27,Dooly,0,0,0,1,1,2,1,2,0,0,0,0,0,1,0,1,0,1,10,1
28,Early,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,6,1
29,Echols,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1
30,Elbert,2,4,1,1,0,4,4,3,2,7,2,1,3,1,5,4,4,2,50,1
31,Emanuel,0,1,1,1,2,0,0,0,1,4,1,2,0,2,6,3,1,1,26,1
32,Evans,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,8,1
33,Fannin,2,0,2,6,2,3,5,3,8,5,7,12,1,2,9,6,5,7,85,1
34,Franklin,1,0,1,4,0,4,3,2,2,2,7,6,6,4,4,8,7,5,66,1
35,Gilmer,0,2,4,1,2,4,7,2,2,3,8,1,3,5,4,5,3,5,61,1
36,Glascock,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,5,1
37,Grady,0,1,0,1,0,0,2,0,3,1,4,1,0,1,0,1,2,1,18,1
38,Greene,0,1,0,0,0,0,1,0,2,1,0,2,2,1,3,1,2,1,17,1
39,Hancock,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1
40,Haralson,1,4,4,10,2,1,6,4,12,3,12,13,7,8,5,9,10,9,120,1
41,Harris,1,1,1,2,3,1,5,1,1,1,6,3,1,3,6,2,2,9,49,1
42,Hart,1,3,5,2,0,4,5,0,2,6,2,3,4,4,4,2,2,2,51,1
43,Heard,3,0,1,1,2,0,0,0,3,3,3,2,2,1,1,1,0,3,26,1
44,Irwin,1,0,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,10,1
45,Jasper,0,1,2,2,0,1,0,0,2,2,0,1,3,1,3,2,1,1,22,1
46,Jeff Davis,1,0,1,2,1,2,2,7,1,2,4,7,1,6,6,4,1,6,54,1
47,Jefferson,0,0,0,0,0,0,1,1,2,0,4,2,1,0,3,2,1,2,19,1
48,Jenkins,0,0,0,1,0,1,1,1,0,1,2,1,1,1,0,0,0,1,11,1
49,Johnson,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,2,1,0,10,1
50,Jones,0,2,2,8,1,4,4,4,3,3,4,1,5,2,5,6,3,3,60,1
51,Lamar,3,1,3,1,3,1,2,2,2,3,1,5,4,2,1,2,6,3,45,1
