,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
0,Appling,0,0,0,0,0,0,0,0,1 ,0,0,0,3 ,2 ,1 ,1 ,1 ,3 ,12 ,1
1,Atkinson,0,0,0,0,0,0,1 ,0,0,0,1 ,1 ,1 ,2 ,1 ,1 ,0,1 ,9 ,1
2,Bacon,0,0,0,0,0,0,0,0,1 ,1 ,0,2 ,0,0,0,2 ,0,0,6 ,1
3,Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Banks,0,2 ,0,1 ,1 ,1 ,1 ,0,1 ,2 ,2 ,1 ,4 ,3 ,0,1 ,3 ,3 ,26 ,1
5,Ben Hill,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,3 ,0,0,1 ,6 ,1
6,Berrien,0,0,0,0,0,0,1 ,0,0,0,1 ,1 ,0,2 ,2 ,0,0,0,7 ,1
7,Bleckley,1 ,0,1 ,3 ,2 ,0,1 ,0,0,0,0,0,0,1 ,2 ,0,2 ,0,13 ,1
8,Brantley,0,0,1 ,0,1 ,4 ,1 ,1 ,3 ,0,3 ,1 ,6 ,3 ,1 ,2 ,3 ,6 ,36 ,1
9,Brooks,0,0,0,0,1 ,0,1 ,0,0,0,0,0,1 ,0,1 ,0,1 ,0,5 ,1
10,Bryan,0,1 ,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,1 ,3 ,0,8 ,1
11,Burke,0,0,0,0,0,0,0,0,1 ,1 ,0,0,1 ,0,2 ,1 ,2 ,3 ,11 ,1
12,Butts,0,1 ,0,0,2 ,0,3 ,0,3 ,3 ,3 ,4 ,2 ,5 ,2 ,3 ,4 ,3 ,38 ,1
13,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1
14,Candler,0,0,1 ,0,1 ,0,0,0,0,0,1 ,0,0,0,0,3 ,2 ,1 ,9 ,1
15,Charlton,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,3 ,0,1 ,1 ,7 ,1
16,Chattahoochee,0,0,0,0,0,0,0,0,1 ,0,1 ,0,0,1 ,1 ,1 ,0,0,5 ,1
17,Chattooga,0,1 ,1 ,3 ,1 ,0,0,0,2 ,3 ,2 ,1 ,1 ,5 ,1 ,1 ,2 ,4 ,28 ,1
18,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,1 ,1
19,Clinch,0,0,0,0,0,0,0,0,0,1 ,0,0,1 ,0,0,0,0,0,2 ,1
20,Cook,0,0,0,0,0,2 ,1 ,0,0,1 ,2 ,1 ,1 ,1 ,1 ,0,3 ,0,13 ,1
21,Crawford,0,1 ,1 ,0,1 ,1 ,0,1 ,1 ,0,0,2 ,3 ,1 ,1 ,1 ,0,2 ,16 ,1
22,Crisp,0,0,0,0,1 ,1 ,0,0,1 ,0,0,2 ,0,3 ,0,1 ,0,0,9 ,1
23,Dade,0,0,0,0,0,0,2 ,1 ,0,2 ,0,3 ,1 ,3 ,0,0,1 ,0,13 ,1
24,Dawson,0,0,0,1 ,0,1 ,0,2 ,1 ,1 ,2 ,2 ,1 ,3 ,2 ,4 ,4 ,3 ,27 ,1
25,Decatur,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,1 ,1 ,1 ,0,5 ,1
26,Dodge,0,1 ,2 ,0,1 ,2 ,1 ,0,4 ,4 ,2 ,2 ,0,2 ,1 ,0,1 ,3 ,26 ,1
