County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Appling,88.9,116.3,123.4,106.9,116.3,105.5,130.3,128.6,129.7,129.5,123.7
Atkinson,49.4,71.8,66.6,66.8,71.8,71.4,75.9,74.1,71.3,77.9,67.9
Bacon,145.7,198.7,169.1,149.0,198.7,165.8,175.3,139.4,145.7,151.2,157.5
Baker,–,–,–,–,–,–,–,–,–,–,–
Baldwin,85.0,116.5,91.7,99.7,116.5,120.0,120.4,118.2,113.0,102.8,98.4
Banks,7.0,36.4,20.8,21.1,36.4,39.1,60.2,59.6,51.1,48.0,42.3
Barrow,92.0,87.3,94.9,97.0,87.3,91.3,97.4,93.0,92.3,87.7,84.6
Bartow,97.5,115.2,112.1,116.0,115.2,117.7,120.5,115.0,112.1,104.6,102.9
Ben Hill,133.3,142.5,154.7,143.8,142.5,138.7,179.8,181.5,199.0,208.1,199.4
Berrien,100.1,100.9,99.8,97.7,100.9,96.5,95.8,71.9,61.8,57.3,56.1
Bibb,142.0,166.8,160.3,160.3,166.8,165.4,162.3,156.8,145.4,138.8,130.7
Bleckley,128.9,152.3,130.7,131.2,152.3,143.7,153.3,141.7,147.0,143.9,131.8
Brantley,–,50.5,–,40.6,50.5,70.1,64.4,66.0,71.4,64.7,55.2
Brooks,75.7,102.8,80.3,90.2,102.8,114.1,116.0,88.3,73.6,88.1,91.0
Bryan,55.4,81.9,57.4,69.8,81.9,76.5,97.2,94.1,93.7,88.8,90.7
Bulloch,78.0,99.3,97.5,96.0,99.3,93.8,88.3,90.4,93.9,95.9,84.7
Burke,72.0,81.3,78.1,79.0,81.3,76.4,87.8,90.4,93.0,88.0,84.3
Butts,85.6,88.3,93.1,86.4,88.3,86.5,94.9,99.7,103.5,104.9,100.2
Calhoun,–,–,–,–,–,–,–,–,2.0,1.0,2.2
Camden,87.0,95.9,96.3,94.5,95.9,89.2,83.7,82.5,82.2,74.2,73.9
Candler,130.0,137.6,127.3,122.1,137.6,121.7,146.4,140.3,151.1,160.8,169.7
Carroll,120.0,139.4,123.5,133.2,139.4,137.9,139.8,132.7,126.1,119.3,116.6
Catoosa,138.3,174.0,150.2,168.0,174.0,173.1,185.9,166.8,148.9,124.0,116.1
Charlton,91.7,86.8,89.4,87.7,86.8,78.4,95.0,104.5,101.1,100.0,104.0
Chatham,97.5,104.5,102.1,100.6,104.5,99.8,96.8,94.1,91.7,87.8,84.9
Chattahoochee,–,–,–,–,–,–,–,–,–,–,–
Chattooga,103.4,110.5,120.7,116.9,110.5,124.1,159.3,153.6,150.2,131.9,131.4
Cherokee,75.5,82.4,77.0,80.1,82.4,78.8,77.2,73.6,71.3,68.0,70.0
Clarke,113.4,122.9,128.5,120.3,122.9,127.1,130.2,119.1,104.7,98.3,97.1
Clay,108.6,130.4,123.1,134.1,130.4,117.0,108.8,87.9,67.7,55.1,49.0
Clayton,52.1,56.7,56.0,56.7,56.7,57.4,54.5,52.7,51.6,47.8,44.6
Clinch,114.7,135.9,116.5,123.0,135.9,135.4,143.2,142.9,144.8,153.4,150.8
Cobb,74.9,78.6,78.0,78.5,78.6,75.3,73.0,68.7,65.0,61.4,61.3
Coffee,145.7,181.6,165.8,176.0,181.6,187.9,176.9,170.7,173.1,167.0,173.8
Colquitt,72.5,82.6,81.1,81.2,82.6,84.2,79.6,81.8,87.7,86.3,85.7
Columbia,91.3,97.1,91.6,93.4,97.1,97.0,93.2,91.0,88.6,84.7,81.0
Cook,84.3,93.7,88.2,95.3,93.7,110.1,121.1,116.1,110.4,104.3,105.7
Coweta,83.8,95.3,86.5,90.4,95.3,95.8,94.5,82.1,80.3,81.2,81.3
Crawford,–,–,–,–,–,–,–,–,0.6,0.9,1.1
Crisp,165.2,191.9,194.4,193.9,191.9,195.3,174.7,180.2,180.4,178.6,174.5
Dade,64.7,105.2,72.4,89.4,105.2,105.1,112.7,109.9,112.0,83.3,74.9
Dawson,138.6,153.4,152.1,152.5,153.4,153.3,170.1,166.0,162.6,149.5,135.6
Decatur,104.9,130.1,123.1,127.0,130.1,130.4,148.1,140.5,134.2,125.2,122.6
DeKalb,45.7,51.0,48.5,50.3,51.0,51.2,49.4,48.9,48.6,45.9,45.1
Dodge,105.9,92.2,102.0,91.7,92.2,92.5,107.9,106.3,107.2,96.9,93.1
Dooly,–,–,–,–,–,–,–,–,0.5,0.6,0.6
Dougherty,116.8,133.5,123.0,131.3,133.5,127.0,132.8,135.0,129.6,125.4,119.3
Douglas,103.3,110.6,111.4,113.6,110.6,113.6,104.7,100.1,101.7,97.0,94.5
Early,104.8,101.3,102.1,96.5,101.3,108.0,104.3,113.0,126.0,119.4,118.9
Echols,–,–,–,–,–,–,–,–,–,–,–
Effingham,62.7,76.7,72.2,76.0,76.7,75.5,77.9,78.4,86.5,86.7,79.7
Elbert,133.2,128.9,134.9,138.2,128.9,133.5,136.8,146.1,152.1,144.4,146.7
Emanuel,112.4,115.5,121.0,114.5,115.5,111.0,116.0,112.5,107.8,109.8,113.4
Evans,143.4,164.4,155.9,145.6,164.4,169.2,169.2,150.0,145.3,134.5,122.0
Fannin,94.8,119.9,109.7,115.3,119.9,130.4,140.2,145.9,160.8,163.3,154.3
Fayette,80.4,89.9,92.0,94.5,89.9,85.1,86.1,90.7,87.8,88.1,91.8
Floyd,146.5,164.5,152.0,159.5,164.5,160.9,176.4,168.3,163.8,160.1,153.3
