County,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Appling,18,3,19,9,135,41,0,22,1,0,118,91,54,2,4
Atkinson,40,0,22,0,21,26,20,6,3,4,0,9,0,0,0
Bacon,26,2,29,2,1,14,17,28,2,0,0,0,0,2,0
Baker,10,1,18,1,3,3,9,26,5,0,0,2,3,7,0
Baldwin,465,14,524,0,393,293,353,494,514,520,547,363,425,339,403
Banks,179,1,218,2,155,104,20,115,154,141,180,231,210,250,77
Barrow,391,9,419,7,302,309,281,373,357,417,285,300,346,406,336
Bartow,573,1,957,26,574,438,465,670,753,621,703,802,715,729,690
Ben Hill,218,3,132,2,129,101,27,0,13,23,47,119,89,140,114
Berrien,79,1,3,152,37,64,69,56,61,66,81,82,52,46,43
Bibb,1670,0,2122,88,1729,1677,1242,1436,1740,1788,1762,1657,1611,1854,1816
Bleckley,62,5,134,1,76,60,74,66,53,28,70,61,62,93,130
Brantley,107,5,203,0,122,113,140,63,64,87,68,93,66,49,24
Brooks,220,0,212,7,87,75,64,95,107,82,67,73,62,50,34
Bryan,135,1,138,2,65,49,86,81,63,80,61,64,55,82,43
Bulloch,0,516,823,0,419,260,483,650,642,717,623,534,569,511,493
Burke,123,0,106,0,52,71,63,67,61,51,50,31,29,47,42
Butts,238,4,245,0,78,16,15,77,95,70,78,71,79,63,76
Calhoun,85,10,59,0,16,18,30,29,25,27,37,21,10,23,9
Camden,443,0,482,2,214,222,241,428,433,260,329,326,358,616,148
Candler,76,5,84,3,17,31,14,9,9,13,7,11,10,13,10
Carroll,300,7,821,11,323,662,724,809,921,1036,917,856,951,924,960
Catoosa,191,2,316,0,436,356,365,378,515,366,419,503,511,570,537
Charlton,83,1,98,0,32,30,68,99,79,55,105,44,46,35,66
Chatham,688,2196,3147,11,1484,1701,1791,2063,1975,2175,1979,1994,1734,1606,1737
Chattahoochee,34,1,30,0,21,9,0,0,0,0,14,2,4,9,1
Chattooga,1,23,32,0,12,10,2,30,48,29,43,48,76,64,77
Cherokee,436,7,425,0,197,183,305,529,745,678,706,770,694,934,777
Clarke,1683,0,1434,0,779,761,874,1013,1030,1039,1057,939,976,845,883
Clay,16,5,34,0,15,17,11,19,3,14,18,13,1,3,0
Clayton,4798,0,6175,0,3456,3336,2692,992,1033,1073,1045,977,901,917,1027
Clinch,89,0,58,1,27,30,23,19,14,32,43,44,17,31,21
Cobb,1515,5,1932,47,808,877,822,952,1203,1116,2826,2593,2428,2012,2152
Coffee,756,0,787,19,0,258,304,378,441,335,497,346,382,510,349
Colquitt,227,0,172,0,0,59,225,207,208,219,242,326,216,200,226
Columbia,598,0,562,0,301,283,339,339,439,526,576,648,547,628,588
Cook,0,75,185,0,78,54,29,35,32,45,57,39,70,37,30
Coweta,598,0,923,9,464,528,459,418,434,425,497,485,620,587,491
Crawford,30,3,31,80,19,22,23,20,38,68,80,72,51,26,34
Crisp,794,0,782,0,354,312,319,411,453,350,386,488,451,441,428
Dade,38,1,48,0,60,42,24,60,48,52,80,69,10,27,23
Dawson,168,0,204,0,94,74,64,94,94,143,120,102,144,138,130
Decatur,246,9,263,0,160,180,225,257,203,205,199,235,233,559,183
Dekalb,4295,24,4234,0,1723,1200,2863,3560,3529,3447,3219,3162,2950,3339,2403
Dodge,231,8,159,2,61,38,62,75,205,89,126,142,93,84,92
Dooly,70,1,56,2,26,36,32,40,20,16,26,15,7,16,50
Dougherty,1094,1,1099,0,568,606,614,1669,1212,1265,1228,1294,979,911,1051
Douglas,1725,0,1915,0,1166,1079,1105,1277,984,1212,1053,1115,1380,1663,1175
Early,25,1,27,1,20,43,48,91,59,78,62,44,63,60,37
Echols,0,3,0,0,0,0,18,11,9,17,8,9,6,5,12
Effingham,236,2,242,0,96,26,28,56,52,67,55,111,74,61,120
Elbert,231,3,219,8,36,89,138,158,130,150,150,89,108,79,74
Emanuel,230,5,117,2,66,67,94,73,59,76,107,144,40,45,51
Evans,0,0,0,0,0,0,14,19,27,27,16,12,23,7,7
Fannin,91,0,13,0,7,1,0,0,78,86,98,100,87,89,61
Fayette,477,6,649,5,280,276,286,379,338,387,429,442,321,296,460
Floyd,823,14,1157,14,693,716,792,714,725,760,791,857,802,811,619
Forsyth,100,7,121,1,18,36,146,206,244,451,402,220,281,304,341
Franklin,159,1,219,5,122,103,165,68,27,44,160,168,121,65,55
Fulton,31583,33913,7827,7556,9701,8320,8849,10271,9126,8789,8601,8590,7492,7363,6290
Gilmer,170,0,261,0,131,64,47,0,102,117,100,140,102,135,88
Glascock,5,4,2,0,0,0,7,2,1,0,0,0,0,1,0
Glynn,955,17,1342,139,885,969,1217,972,727,797,901,897,821,856,517
Gordon,474,2,560,0,275,324,404,398,443,423,436,501,676,545,478
